"","V1","V2","V3","V4","V5"
"1",0,1,2,2,4
"2",0,0,2,2,1
"3",0,0,0,0,3
"4",0,1,0,3,1
"5",0,0,0,0,5
"6",0,0,3,2,1
"7",0,1,1,3,5
"8",0,1,0,0,4
"9",0,0,2,4,3
"10",0,1,0,2,4
"11",1,0,4,1,2
"12",0,0,1,2,1
"13",0,0,2,4,NA
"14",1,1,1,0,2
"15",0,1,1,3,4
"16",0,0,0,3,0
"17",0,0,2,5,NA
"18",0,1,0,3,5
"19",1,0,0,2,1
"20",0,2,2,1,2
"21",0,0,2,3,1
"22",1,0,0,3,1
"23",0,1,0,2,3
"24",1,1,1,2,0
"25",0,0,2,2,4
"26",1,0,2,2,2
"27",0,2,2,2,1
"28",0,1,2,4,1
"29",0,1,1,2,3
"30",0,0,1,3,6
"31",0,0,3,4,NA
"32",0,0,2,1,1
"33",0,0,2,4,NA
"34",0,1,1,0,3
"35",1,0,0,0,3
"36",0,0,1,6,NA
"37",0,2,1,4,NA
"38",0,0,4,1,0
"39",0,1,1,2,4
"40",0,0,0,0,2
"41",0,2,2,1,1
"42",0,1,2,3,2
"43",0,0,0,0,4
"44",0,1,0,0,2
"45",0,1,1,2,4
"46",1,2,4,2,5
"47",1,0,1,2,3
"48",0,0,0,1,1
"49",0,0,5,2,NA
"50",0,1,0,2,2
"51",0,0,1,4,1
"52",1,0,0,2,3
"53",0,0,0,5,NA
"54",0,0,1,0,4
"55",0,0,2,1,0
"56",0,0,2,1,3
"57",0,0,0,2,3
"58",0,0,1,3,5
"59",0,0,0,1,2
"60",0,0,2,1,2
"61",0,1,0,2,0
"62",0,0,2,3,1
"63",0,0,2,5,2
"64",0,0,1,3,3
"65",0,0,2,1,4
"66",0,1,1,1,3
"67",0,0,0,2,5
"68",0,0,1,2,6
"69",0,0,2,6,NA
"70",0,3,1,1,4
"71",0,0,0,2,2
"72",0,0,3,1,6
"73",0,1,1,2,4
"74",0,0,1,1,3
"75",0,0,1,3,3
"76",0,0,2,1,2
"77",0,1,3,3,0
"78",0,0,0,2,2
"79",0,1,1,3,NA
"80",0,0,1,4,NA
"81",0,0,0,3,4
"82",0,1,1,3,2
"83",0,1,1,0,1
"84",0,2,2,2,1
"85",0,1,1,3,3
"86",0,0,1,2,6
"87",0,0,0,2,1
"88",0,0,2,2,1
"89",0,0,0,4,NA
"90",0,1,1,3,1
"91",1,0,1,0,5
"92",0,0,0,4,1
"93",0,0,1,1,2
"94",0,0,2,1,0
"95",0,1,1,0,5
"96",0,0,1,2,1
"97",0,1,1,1,2
"98",0,1,0,2,2
"99",0,2,1,0,2
"100",0,2,2,1,3
"101",0,1,2,2,3
"102",0,0,0,2,2
"103",0,1,2,1,2
"104",0,0,4,1,0
"105",0,0,1,0,4
"106",0,0,0,1,3
"107",0,0,0,3,1
"108",0,0,2,0,3
"109",0,1,2,2,3
"110",0,0,2,2,3
"111",0,0,1,5,NA
"112",0,3,1,0,4
"113",0,0,1,0,4
"114",0,1,1,2,4
"115",0,0,1,2,4
"116",1,0,2,1,3
"117",0,0,0,0,2
"118",0,2,0,2,3
"119",0,0,0,3,1
"120",1,0,4,NA,NA
"121",0,2,1,2,2
"122",0,0,2,2,1
"123",0,0,1,2,1
"124",0,0,0,1,3
"125",1,1,3,4,NA
"126",0,0,1,2,5
"127",0,3,1,1,3
"128",0,1,1,1,5
"129",0,1,2,1,4
"130",0,0,1,3,4
"131",0,0,3,3,NA
"132",0,0,1,3,3
"133",0,0,0,4,3
"134",0,1,1,2,2
"135",0,0,2,4,4
"136",0,0,1,4,5
"137",0,0,0,2,4
"138",0,0,1,0,2
"139",0,0,1,2,4
"140",0,1,0,1,1
"141",0,1,0,1,4
"142",0,0,0,0,5
"143",0,0,1,1,5
"144",0,0,2,2,2
"145",0,0,2,0,5
"146",0,0,4,2,4
"147",0,2,0,1,2
"148",0,1,1,3,NA
"149",0,2,0,1,1
"150",0,1,1,4,NA
"151",0,0,2,5,NA
"152",0,0,0,4,4
"153",0,1,1,1,3
"154",0,1,1,4,NA
"155",0,0,1,2,0
"156",0,1,1,2,0
"157",0,1,3,1,6
"158",1,1,1,5,NA
"159",0,1,0,1,4
"160",0,0,1,0,6
"161",0,0,3,0,1
"162",0,2,2,1,1
"163",0,1,0,4,NA
"164",0,1,1,4,2
"165",0,1,1,1,1
"166",0,0,0,5,1
"167",0,1,2,1,1
"168",0,0,2,3,1
"169",0,0,1,3,5
"170",0,1,0,1,1
"171",0,0,1,2,2
"172",1,1,0,1,2
"173",0,0,0,1,3
"174",0,0,1,1,4
"175",0,0,0,0,2
"176",0,0,1,2,4
"177",0,0,1,1,0
"178",0,1,1,2,4
"179",0,0,1,3,2
"180",0,0,0,3,1
"181",0,0,1,3,3
"182",0,0,2,1,2
"183",0,1,1,0,3
"184",0,1,0,1,2
"185",0,2,0,0,3
"186",0,0,1,0,4
"187",0,0,1,1,1
"188",0,0,3,1,0
"189",0,1,1,0,3
"190",0,0,1,0,5
"191",0,1,1,3,1
"192",0,0,1,0,2
"193",0,0,0,1,2
"194",0,1,0,1,2
"195",1,1,1,3,NA
"196",0,0,1,3,2
"197",0,0,1,3,0
"198",0,0,1,1,2
"199",1,0,0,3,5
"200",0,0,1,3,4
"201",0,0,2,3,2
"202",0,4,NA,NA,NA
"203",0,1,2,1,0
"204",1,1,4,1,2
"205",0,1,1,2,1
"206",0,2,2,2,NA
"207",0,2,0,0,3
"208",0,0,6,NA,NA
"209",0,1,2,4,NA
"210",0,1,3,1,0
"211",0,0,1,0,3
"212",0,2,5,NA,NA
"213",0,0,0,3,1
"214",0,1,1,2,0
"215",0,0,2,3,3
"216",0,1,0,0,4
"217",0,1,0,2,3
"218",0,0,2,0,3
"219",1,0,2,1,5
"220",0,1,0,2,0
"221",0,1,0,2,6
"222",0,1,2,2,2
"223",0,0,0,2,2
"224",0,1,1,1,2
"225",0,1,1,3,2
"226",0,1,1,1,3
"227",0,1,1,2,2
"228",0,2,3,1,2
"229",0,2,1,3,NA
"230",0,0,3,0,4
"231",0,0,2,2,3
"232",1,0,2,0,2
"233",0,1,0,1,3
"234",1,0,1,2,2
"235",0,2,0,1,3
"236",0,0,1,1,1
"237",0,1,1,0,1
"238",0,1,0,3,3
"239",0,0,4,1,4
"240",0,1,0,2,4
"241",0,2,1,0,6
"242",0,0,0,0,2
"243",0,0,1,1,2
"244",0,0,0,2,5
"245",0,1,0,1,2
"246",0,0,0,1,3
"247",0,0,1,2,0
"248",1,2,6,NA,NA
"249",0,0,1,1,3
"250",0,0,1,0,3
"251",0,1,1,2,2
"252",0,0,1,1,4
"253",0,0,2,2,3
"254",0,0,1,3,2
"255",0,0,2,1,2
"256",0,0,2,2,0
"257",0,1,2,1,0
"258",0,1,1,0,1
"259",0,0,1,2,2
"260",1,0,1,3,1
"261",0,0,4,5,NA
"262",0,2,0,5,2
"263",0,0,2,2,3
"264",0,1,3,2,3
"265",0,0,4,4,4
"266",0,1,1,2,2
"267",0,1,3,2,3
"268",0,0,0,2,5
"269",0,2,0,1,0
"270",0,1,3,4,NA
"271",0,0,0,0,2
"272",0,0,1,2,2
"273",0,0,1,5,1
"274",0,0,0,3,0
"275",0,0,0,0,3
"276",0,1,0,0,1
"277",0,1,2,4,NA
"278",0,1,1,1,5
"279",0,0,3,2,1
"280",0,1,0,4,NA
"281",0,0,0,2,4
"282",0,2,0,4,4
"283",0,0,2,0,4
"284",0,0,0,0,5
"285",0,0,0,3,NA
"286",0,0,2,7,NA
"287",1,1,0,1,3
"288",0,0,3,3,NA
"289",1,0,2,2,1
"290",0,0,2,1,2
"291",0,0,2,0,2
"292",0,3,5,NA,NA
"293",0,1,1,0,6
"294",0,0,0,0,5
"295",0,0,1,4,3
"296",0,2,2,5,NA
"297",0,0,2,0,3
"298",0,1,1,2,3
"299",0,1,2,2,3
"300",0,0,0,2,2
"301",0,0,1,4,2
"302",0,0,0,3,2
"303",0,0,2,2,2
"304",0,1,1,3,3
"305",0,1,0,2,2
"306",0,1,0,1,1
"307",0,1,2,2,1
"308",0,2,0,1,3
"309",1,1,0,0,2
"310",0,2,2,2,1
"311",0,1,1,2,2
"312",0,0,0,1,1
"313",0,0,1,2,0
"314",0,2,1,7,NA
"315",0,0,2,1,2
"316",0,0,3,2,3
"317",0,1,0,1,3
"318",0,0,0,1,4
"319",1,1,4,2,1
"320",0,0,1,1,2
"321",0,0,0,2,2
"322",1,3,2,1,3
"323",0,0,2,0,1
"324",0,0,2,3,2
"325",1,0,0,2,1
"326",0,0,1,2,4
"327",0,0,1,3,2
"328",0,2,2,2,3
"329",0,0,0,1,1
"330",0,0,1,3,4
"331",1,0,2,3,2
"332",0,1,2,0,1
"333",0,0,1,1,5
"334",1,1,0,2,1
"335",0,1,0,4,3
"336",0,1,1,2,1
"337",0,0,3,3,NA
"338",0,0,0,3,1
"339",0,0,0,0,3
"340",0,0,0,3,1
"341",0,0,0,3,0
"342",0,1,0,0,0
"343",0,1,1,1,3
"344",0,0,1,0,4
"345",0,0,1,1,1
"346",0,0,1,1,3
"347",0,0,0,0,2
"348",0,2,1,1,3
"349",0,0,2,2,3
"350",0,0,0,0,3
