"","V1","V2","V3","V4","V5"
"1",NA,NA,1,1,1
"2",NA,1,1,1,1
"3",NA,NA,1,1,1
"4",NA,NA,1,1,NA
"5",NA,1,1,1,1
"6",NA,1,1,1,1
"7",1,NA,1,1,NA
"8",NA,1,1,1,1
"9",NA,NA,1,1,1
"10",NA,NA,1,1,1
"11",NA,NA,1,1,1
"12",NA,1,1,1,1
"13",1,NA,1,1,1
"14",1,NA,1,NA,NA
"15",NA,1,1,1,1
"16",NA,1,1,NA,1
"17",NA,NA,1,1,1
"18",1,1,1,1,NA
"19",NA,NA,1,1,1
"20",1,NA,1,1,1
"21",NA,NA,1,1,1
"22",1,1,1,1,1
"23",NA,NA,1,1,1
"24",NA,NA,1,1,1
"25",NA,NA,1,1,1
"26",NA,NA,1,1,1
"27",NA,1,1,1,1
"28",1,NA,1,1,1
"29",NA,1,1,1,1
"30",1,NA,1,1,NA
"31",NA,NA,1,1,1
"32",NA,NA,1,1,1
"33",NA,1,1,1,1
"34",NA,1,1,1,1
"35",NA,NA,1,NA,NA
"36",NA,NA,1,1,1
"37",1,1,1,1,1
"38",NA,1,1,1,1
"39",NA,1,1,NA,NA
"40",NA,NA,1,1,1
"41",NA,NA,1,1,NA
"42",1,1,1,1,1
"43",NA,NA,1,1,1
"44",NA,1,1,1,1
"45",1,NA,1,1,1
"46",NA,NA,1,1,1
"47",NA,NA,1,1,1
"48",NA,1,1,1,1
"49",NA,NA,1,1,1
"50",1,1,1,1,1
"51",1,NA,1,1,1
"52",NA,NA,1,1,1
"53",1,1,1,1,NA
"54",NA,1,1,1,1
"55",1,NA,1,1,1
"56",NA,NA,NA,NA,NA
"57",NA,1,1,NA,1
"58",NA,1,1,1,1
"59",NA,1,1,1,1
"60",1,1,1,1,1
"61",1,1,1,1,1
"62",NA,NA,1,1,1
"63",NA,NA,1,1,NA
"64",NA,NA,1,1,1
"65",NA,NA,1,1,1
"66",NA,1,1,1,1
"67",1,NA,1,1,1
"68",1,NA,1,NA,1
"69",NA,1,1,1,1
"70",NA,NA,1,1,1
"71",NA,NA,1,1,1
"72",NA,NA,1,NA,NA
"73",NA,1,1,1,NA
"74",NA,NA,1,1,1
"75",1,NA,1,1,1
"76",NA,NA,1,1,1
"77",NA,NA,1,1,1
"78",NA,NA,1,1,1
"79",NA,NA,1,1,1
"80",NA,NA,1,1,1
"81",NA,NA,1,1,1
"82",NA,NA,1,1,1
"83",NA,1,1,1,1
"84",NA,1,1,1,1
"85",NA,1,1,NA,NA
"86",1,NA,1,1,1
"87",NA,NA,1,1,1
"88",NA,1,1,1,NA
"89",NA,NA,1,1,1
"90",1,NA,1,1,1
"91",NA,NA,1,1,1
"92",NA,1,1,1,1
"93",1,1,1,1,NA
"94",NA,1,1,1,1
"95",NA,NA,1,1,1
"96",NA,1,1,1,1
"97",NA,NA,1,NA,NA
"98",NA,NA,1,1,1
"99",1,NA,1,1,NA
"100",NA,1,1,1,1
"101",NA,NA,1,1,1
"102",NA,1,1,1,1
"103",NA,1,1,1,1
"104",NA,NA,1,1,1
"105",NA,NA,1,NA,NA
"106",NA,1,1,1,NA
"107",NA,NA,1,1,NA
"108",NA,1,1,1,1
"109",NA,1,1,1,1
"110",NA,NA,1,1,1
"111",NA,NA,1,1,1
"112",NA,NA,1,1,1
"113",NA,NA,1,1,1
"114",1,NA,1,1,1
"115",NA,1,1,1,1
"116",1,1,1,1,1
"117",1,NA,1,1,1
"118",NA,NA,1,1,1
"119",1,NA,1,1,1
"120",NA,NA,1,1,1
"121",NA,NA,1,1,1
"122",1,NA,1,1,1
"123",1,1,1,1,1
"124",1,1,1,1,1
"125",NA,NA,1,1,1
"126",NA,1,1,1,1
"127",NA,NA,1,1,1
"128",NA,NA,1,1,1
"129",NA,NA,1,1,1
"130",NA,1,1,1,1
"131",NA,NA,1,1,1
"132",NA,1,1,1,1
"133",NA,NA,1,1,1
"134",NA,NA,1,1,1
"135",NA,1,1,1,NA
"136",NA,NA,1,1,1
"137",1,1,1,1,1
"138",NA,NA,1,1,1
"139",NA,1,1,1,1
"140",NA,1,1,1,1
"141",NA,1,NA,1,1
"142",NA,1,1,NA,NA
"143",NA,NA,1,1,1
"144",NA,NA,1,1,1
"145",NA,NA,1,1,1
"146",NA,NA,1,1,1
"147",NA,NA,1,1,1
"148",NA,NA,1,1,1
"149",NA,NA,1,1,1
"150",1,1,1,1,1
"151",NA,1,1,1,1
"152",1,1,1,1,1
"153",NA,NA,1,1,1
"154",NA,NA,1,1,1
"155",1,NA,1,1,1
"156",NA,1,1,1,1
"157",1,1,1,1,1
"158",NA,NA,1,1,1
"159",NA,NA,1,1,1
"160",NA,1,1,1,1
"161",NA,1,1,1,1
"162",NA,NA,1,1,1
"163",NA,1,1,1,1
"164",1,1,1,1,1
"165",NA,1,1,1,1
"166",NA,1,1,1,1
"167",NA,NA,1,1,1
"168",1,NA,1,1,1
"169",1,NA,1,1,1
"170",NA,1,1,1,NA
"171",1,NA,1,1,1
"172",NA,1,1,1,NA
"173",NA,1,1,1,1
"174",NA,1,1,NA,1
"175",NA,1,1,1,1
"176",NA,NA,1,1,1
"177",NA,1,1,1,1
"178",NA,NA,1,1,NA
"179",NA,1,1,1,1
"180",1,NA,1,1,NA
"181",NA,NA,1,1,1
"182",NA,NA,1,1,1
"183",NA,NA,1,1,NA
"184",NA,1,1,1,1
"185",NA,NA,1,1,NA
"186",1,1,1,1,1
"187",NA,NA,1,1,1
"188",NA,NA,1,1,1
"189",NA,NA,1,1,1
"190",NA,NA,1,1,1
"191",NA,NA,1,1,NA
"192",NA,NA,1,1,1
"193",1,NA,1,1,NA
"194",1,1,1,1,1
"195",1,NA,1,1,NA
"196",1,NA,1,1,1
"197",1,1,1,1,1
"198",1,NA,1,1,1
"199",NA,NA,1,1,1
"200",1,NA,1,1,1
"201",NA,NA,NA,NA,NA
"202",NA,1,1,1,1
"203",NA,NA,1,1,1
"204",1,1,1,1,1
"205",NA,NA,1,1,1
"206",NA,NA,1,1,NA
"207",NA,NA,1,1,1
"208",NA,NA,1,1,1
"209",1,NA,1,1,1
"210",NA,NA,1,1,1
"211",NA,1,1,1,1
"212",1,NA,1,1,1
"213",1,NA,1,1,1
"214",NA,NA,1,1,NA
"215",1,1,1,1,1
"216",NA,NA,1,1,1
"217",NA,NA,1,NA,NA
"218",NA,1,1,1,1
"219",1,NA,1,NA,1
"220",NA,1,1,NA,NA
"221",1,NA,1,1,1
"222",1,1,1,1,1
"223",NA,NA,1,1,1
"224",NA,1,1,1,NA
"225",NA,1,1,1,1
"226",NA,NA,1,1,1
"227",NA,1,1,1,1
"228",NA,NA,1,1,1
"229",1,NA,1,1,NA
"230",NA,NA,1,1,1
"231",1,NA,1,1,NA
"232",NA,NA,1,NA,1
"233",NA,1,1,1,1
"234",1,NA,1,1,NA
"235",NA,NA,1,1,1
"236",NA,1,1,1,1
"237",NA,NA,1,1,NA
"238",NA,1,1,1,1
"239",1,NA,1,1,1
"240",NA,1,1,1,NA
"241",NA,NA,NA,NA,NA
"242",NA,1,1,1,1
"243",NA,NA,1,1,NA
"244",NA,1,1,1,1
"245",1,NA,1,1,NA
"246",NA,NA,1,1,NA
"247",1,1,1,1,1
"248",1,NA,1,1,1
"249",1,NA,1,1,NA
"250",1,NA,1,NA,NA
"251",NA,NA,1,1,1
"252",NA,NA,1,1,NA
"253",NA,1,1,1,1
"254",NA,1,1,1,1
"255",1,1,1,1,NA
"256",NA,NA,1,1,1
"257",NA,NA,1,1,1
"258",1,NA,1,1,1
"259",1,NA,1,1,1
"260",NA,NA,1,1,1
"261",NA,NA,1,1,1
"262",1,NA,1,1,1
"263",NA,1,1,1,1
"264",NA,1,1,1,1
"265",NA,1,1,1,1
"266",NA,NA,1,1,NA
"267",NA,1,1,1,1
"268",NA,1,1,NA,NA
"269",1,NA,1,1,1
"270",NA,NA,1,NA,1
"271",1,NA,1,1,1
"272",NA,NA,1,1,1
"273",NA,NA,1,1,1
"274",NA,NA,1,1,1
"275",NA,1,1,1,1
"276",NA,NA,1,1,1
"277",1,1,1,1,1
"278",NA,NA,1,1,1
"279",NA,NA,1,1,1
"280",NA,NA,1,1,1
"281",1,NA,1,1,1
"282",NA,NA,1,1,1
"283",NA,1,1,1,NA
"284",NA,NA,1,1,1
"285",NA,NA,1,1,NA
"286",NA,NA,1,NA,NA
"287",NA,NA,1,1,1
"288",1,1,1,1,1
"289",NA,NA,1,1,1
"290",1,NA,1,1,NA
"291",1,NA,1,1,1
"292",NA,1,1,1,1
"293",NA,1,1,1,1
"294",1,1,1,1,NA
"295",NA,NA,1,1,1
"296",NA,1,1,1,NA
"297",1,NA,1,1,1
"298",NA,1,1,1,1
"299",NA,NA,1,1,1
"300",NA,NA,1,1,NA
"301",NA,1,1,1,1
"302",NA,1,1,1,1
"303",NA,NA,1,1,1
"304",NA,1,1,1,1
"305",NA,NA,1,1,1
"306",1,1,1,1,1
"307",NA,NA,1,1,1
"308",NA,NA,1,1,1
"309",NA,NA,1,1,1
"310",NA,NA,1,1,1
"311",NA,1,1,1,1
"312",1,NA,1,1,1
"313",NA,NA,1,1,NA
"314",NA,NA,1,1,1
"315",1,NA,1,1,1
"316",NA,1,1,1,1
"317",NA,1,1,1,1
"318",NA,1,1,1,NA
"319",NA,1,1,1,1
"320",NA,1,1,1,1
"321",NA,1,1,1,1
"322",1,NA,1,1,1
"323",NA,NA,1,1,1
"324",1,NA,1,1,NA
"325",NA,1,1,1,1
"326",1,1,1,1,1
"327",NA,1,1,1,1
"328",NA,NA,1,1,1
"329",1,1,1,1,NA
"330",NA,1,1,NA,NA
"331",NA,NA,1,1,1
"332",NA,1,1,1,1
"333",NA,NA,1,1,1
"334",NA,1,1,1,1
"335",NA,NA,1,1,NA
"336",NA,NA,NA,NA,NA
"337",NA,1,1,1,1
"338",NA,NA,1,1,1
"339",NA,NA,1,1,1
"340",NA,1,1,1,1
"341",NA,1,1,1,1
"342",NA,NA,1,1,1
"343",NA,NA,1,1,1
"344",NA,1,1,1,NA
"345",NA,NA,1,1,1
"346",1,NA,1,NA,1
"347",NA,1,NA,1,1
