"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,0,0,1,2,3,2,1,2
"2",0,0,0,2,0,2,5,1,3
"3",0,0,0,3,0,5,2,0,2
"4",0,0,0,1,2,1,2,1,1
"5",0,0,0,2,0,1,2,3,1
"6",0,0,0,0,2,2,2,3,1
"7",0,0,0,3,3,1,4,2,1
"8",0,0,0,2,1,3,2,0,2
"9",0,0,0,1,0,2,0,3,6
"10",0,0,0,1,1,2,2,2,2
"11",0,0,0,4,1,3,0,1,0
"12",0,0,0,2,1,0,5,1,2
"13",0,0,0,1,2,2,7,1,0
"14",0,0,0,3,1,1,0,4,2
"15",0,0,0,0,4,1,1,0,1
"16",0,0,0,2,0,7,2,2,1
"17",0,0,0,1,2,1,3,1,1
"18",0,0,0,3,2,3,3,0,2
"19",0,0,0,2,1,2,2,2,0
"20",0,0,0,1,4,2,2,1,5
"21",0,0,0,3,1,2,2,1,3
"22",0,0,0,0,1,3,1,2,2
"23",0,0,0,2,0,2,1,1,0
"24",0,0,0,2,2,3,1,3,1
"25",0,0,0,1,2,3,2,0,5
"26",0,0,0,2,2,2,2,3,4
"27",0,0,0,5,3,2,2,0,2
"28",0,0,0,1,2,1,3,1,4
"29",0,0,0,3,3,2,1,0,1
"30",0,0,0,2,1,2,1,3,2
"31",0,0,0,4,3,2,1,3,0
"32",0,0,0,3,3,5,3,2,2
"33",0,0,0,2,1,3,1,2,2
"34",0,0,0,1,4,2,0,1,0
"35",0,0,0,1,3,2,1,2,1
"36",0,0,0,4,1,4,2,1,1
"37",0,0,0,3,3,1,2,2,1
"38",0,0,0,0,4,4,3,2,2
"39",0,0,0,4,3,1,4,2,2
"40",0,0,0,1,2,3,2,2,1
"41",0,0,0,1,3,0,3,2,3
"42",0,0,0,2,1,2,3,2,2
"43",0,0,0,4,2,0,2,4,2
"44",0,0,0,3,1,1,1,3,1
"45",0,0,0,1,1,2,3,2,1
"46",0,0,0,3,2,3,4,2,5
"47",0,0,0,2,5,4,4,2,3
"48",0,0,0,3,5,2,2,0,1
"49",0,0,0,1,3,1,3,1,3
"50",0,0,0,2,3,5,4,1,1
"51",0,0,0,1,2,5,4,3,1
"52",0,0,0,5,5,0,1,6,2
"53",0,0,0,2,1,3,3,0,2
"54",0,0,0,2,4,3,2,2,5
"55",0,0,0,2,4,1,0,2,2
"56",0,0,0,1,2,1,2,1,0
"57",0,0,0,1,2,2,2,1,1
"58",0,0,0,0,2,5,2,1,0
"59",0,0,0,1,4,0,1,2,1
"60",0,0,0,6,3,1,2,1,2
"61",0,0,0,1,2,4,1,2,1
"62",0,0,0,0,6,2,2,2,0
"63",0,0,0,3,1,4,4,4,1
"64",0,0,0,1,4,1,5,2,1
"65",0,0,0,0,2,0,7,3,0
"66",0,0,0,3,2,0,2,1,1
"67",0,0,0,1,1,2,2,3,3
"68",0,0,0,1,3,6,1,0,0
"69",0,0,0,4,1,2,0,1,1
"70",0,0,0,3,3,3,2,1,1
"71",0,0,0,4,3,0,5,3,1
"72",0,0,0,2,2,3,0,2,2
"73",0,0,0,1,4,3,2,4,0
"74",0,0,0,1,0,2,2,1,2
"75",0,0,0,4,1,1,4,5,0
"76",0,0,0,3,4,5,1,0,0
"77",0,0,0,3,3,3,0,0,3
"78",0,0,0,1,1,0,3,5,1
"79",0,0,0,1,1,1,2,0,2
"80",0,0,0,5,3,3,1,1,1
"81",0,0,0,2,4,0,1,2,4
"82",0,0,0,3,1,2,3,2,1
"83",0,0,0,2,0,2,3,1,4
"84",0,0,0,1,3,1,1,1,4
"85",0,0,0,1,2,3,4,2,0
"86",0,0,0,5,1,3,1,1,1
"87",0,0,0,1,5,1,3,2,3
"88",0,0,0,2,3,0,2,3,0
"89",0,0,0,3,2,0,1,3,1
"90",0,0,0,2,1,3,2,2,3
"91",0,0,0,3,2,2,2,1,1
"92",0,0,0,1,2,1,0,1,4
"93",0,0,0,3,2,1,2,1,0
"94",0,0,0,2,4,2,1,3,0
"95",0,0,0,2,5,3,2,0,5
"96",0,0,0,1,8,1,2,1,1
"97",0,0,0,3,2,2,1,4,1
"98",0,0,0,1,1,2,4,3,0
"99",0,0,0,2,3,1,2,2,3
"100",0,0,0,2,1,1,4,0,4
"101",0,0,0,1,1,1,5,1,1
"102",0,0,0,4,6,2,2,0,0
"103",0,0,0,0,3,2,0,1,1
"104",0,0,0,0,3,4,0,2,3
"105",0,0,0,1,1,1,4,3,2
"106",0,0,0,2,0,2,2,2,3
"107",0,0,0,2,3,3,3,3,1
"108",0,0,0,4,0,4,3,0,1
"109",0,0,0,4,5,0,2,1,0
"110",0,0,0,1,4,1,3,4,1
"111",0,0,0,4,5,2,3,2,3
"112",0,0,0,2,1,1,3,2,2
"113",0,0,0,1,1,1,1,0,1
"114",0,0,0,1,1,2,1,2,0
"115",0,0,0,4,4,1,0,1,1
"116",0,0,0,3,0,1,2,5,0
"117",0,0,0,4,3,3,2,1,0
"118",0,0,0,1,4,3,5,0,3
"119",0,0,0,5,0,4,1,3,4
"120",0,0,0,3,3,3,1,1,2
"121",0,0,0,2,2,3,1,3,4
"122",0,0,0,2,2,1,5,1,0
"123",0,0,0,3,5,3,5,1,1
"124",0,0,0,3,6,1,3,4,4
"125",0,0,0,2,2,0,1,4,3
"126",0,0,0,4,2,1,2,2,1
"127",0,0,0,2,4,0,5,3,1
"128",0,0,0,1,6,2,2,4,0
"129",0,0,0,2,3,5,1,1,1
"130",0,0,0,2,3,3,2,2,1
"131",0,0,0,3,1,2,5,1,0
"132",0,0,0,1,1,3,3,1,2
"133",0,0,0,5,3,1,4,3,1
"134",0,0,0,3,1,1,2,2,1
"135",0,0,0,4,2,0,3,0,0
"136",0,0,0,5,3,1,0,4,1
"137",0,0,0,3,1,0,1,2,1
"138",0,0,0,2,1,3,2,4,1
"139",0,0,0,3,0,2,2,3,2
"140",0,0,0,0,3,4,2,2,0
"141",0,0,0,5,3,2,0,1,1
"142",0,0,0,1,3,0,2,1,3
"143",0,0,0,4,3,3,2,1,2
"144",0,0,0,1,5,2,2,1,4
"145",0,0,0,3,0,3,2,3,1
"146",0,0,0,4,1,0,3,4,1
"147",0,0,0,2,3,2,1,1,2
"148",0,0,0,3,2,3,1,5,2
"149",0,0,0,2,4,1,1,3,0
"150",0,0,0,1,0,0,1,5,1
"151",0,0,0,4,2,1,3,0,0
"152",0,0,0,4,2,0,2,3,0
"153",0,0,0,3,4,2,2,2,1
"154",0,0,0,2,3,2,2,3,4
"155",0,0,0,3,0,3,2,2,1
"156",0,0,0,3,3,1,1,3,1
"157",0,0,0,4,3,2,1,2,2
"158",0,0,0,1,0,3,0,2,7
"159",0,0,0,3,2,2,4,0,1
"160",0,0,0,3,0,3,3,3,2
"161",0,0,0,2,1,1,1,0,1
"162",0,0,0,2,3,2,4,3,1
"163",0,0,0,0,4,1,3,3,1
"164",0,0,0,2,1,3,1,2,1
"165",0,0,0,3,3,0,2,2,3
"166",0,0,0,1,1,3,2,1,3
"167",0,0,0,1,1,1,3,3,3
"168",0,0,0,1,2,3,7,0,2
"169",0,0,0,3,3,2,0,4,2
"170",0,0,0,1,3,3,0,1,1
"171",0,0,0,2,2,2,1,2,2
"172",0,0,0,0,2,4,2,3,2
"173",0,0,0,2,3,1,1,1,2
"174",0,0,0,1,1,0,2,3,5
"175",0,0,0,2,1,0,3,0,2
"176",0,0,0,0,1,1,2,1,2
"177",0,0,0,4,1,4,0,3,1
"178",0,0,0,2,2,5,1,4,0
"179",0,0,0,4,1,1,1,2,3
"180",0,0,0,4,3,2,3,2,1
"181",0,0,0,2,3,0,1,1,2
"182",0,0,0,3,1,2,3,2,2
"183",0,0,0,3,3,3,0,3,1
"184",0,0,0,3,0,1,1,0,1
"185",0,0,0,1,1,4,4,2,1
"186",0,0,0,3,2,0,2,2,0
"187",0,0,0,3,3,1,1,1,3
"188",0,0,0,7,4,1,3,1,1
"189",0,0,0,5,1,3,3,3,2
"190",0,0,0,1,2,3,3,3,3
"191",0,0,0,6,6,3,3,1,4
"192",0,0,0,2,2,4,5,1,5
"193",0,0,0,5,1,3,3,1,1
"194",0,0,0,5,1,1,3,3,1
"195",0,0,0,0,6,2,1,3,1
"196",0,0,0,4,2,2,5,1,3
"197",0,0,0,2,3,3,3,0,1
"198",0,0,0,3,2,4,2,2,2
"199",0,0,0,1,2,4,1,2,1
"200",0,0,0,1,0,2,5,2,0
"201",0,0,0,3,4,0,2,1,1
"202",0,0,0,1,1,2,2,3,6
"203",0,0,0,2,1,5,4,3,3
"204",0,0,0,2,4,0,2,3,4
"205",0,0,0,3,2,2,1,2,1
"206",0,0,0,4,1,2,1,3,1
"207",0,0,0,2,3,6,2,1,1
"208",0,0,0,5,1,1,2,3,2
"209",0,0,0,2,1,2,2,0,1
"210",0,0,0,3,5,2,1,3,1
"211",0,0,0,0,3,1,3,2,0
"212",0,0,0,2,0,6,2,1,2
"213",0,0,0,6,2,2,2,2,1
"214",0,0,0,1,4,4,3,1,3
"215",0,0,0,4,3,3,0,2,3
"216",0,0,0,3,2,3,5,1,1
"217",0,0,0,3,2,4,3,2,3
"218",0,0,0,4,1,2,2,3,1
"219",0,0,0,1,6,1,0,1,3
"220",0,0,0,3,0,1,4,2,2
"221",0,0,0,3,4,3,3,4,2
"222",0,0,0,6,0,1,2,4,1
"223",0,0,0,3,1,0,1,2,1
"224",0,0,0,1,1,4,1,1,4
"225",0,0,0,2,2,3,3,1,2
"226",0,0,0,1,3,3,2,3,2
"227",0,0,0,6,6,0,2,1,1
"228",0,0,0,5,5,3,1,1,1
"229",0,0,0,2,2,1,1,1,1
"230",0,0,0,3,3,0,1,0,4
"231",0,0,0,2,2,3,3,1,4
"232",0,0,0,3,2,0,5,0,3
"233",0,0,0,1,3,2,3,1,2
"234",0,0,0,3,1,2,1,3,1
"235",0,0,0,1,1,0,1,2,5
"236",0,0,0,1,2,1,3,1,4
"237",NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",0,0,0,2,1,2,3,4,3
"239",0,0,0,2,1,1,1,4,4
"240",0,0,0,3,3,1,1,2,3
"241",0,0,0,4,3,3,2,3,0
"242",0,0,0,2,2,4,2,2,1
"243",0,0,0,2,2,2,3,3,2
"244",0,0,0,0,0,2,4,1,2
"245",0,0,0,4,1,2,2,2,2
"246",0,0,0,2,2,2,0,0,2
"247",0,0,0,2,0,3,3,2,2
"248",0,0,0,2,3,4,3,3,2
"249",0,0,0,4,1,2,4,3,1
"250",0,0,0,3,3,1,1,2,2
"251",0,0,0,3,1,4,1,0,2
"252",0,0,0,2,0,1,4,3,4
"253",0,0,0,2,4,0,4,0,1
"254",0,0,0,2,2,2,5,2,4
"255",0,0,0,1,2,2,2,3,0
"256",0,0,0,3,3,4,2,3,3
"257",0,0,0,1,3,1,2,3,1
"258",0,0,0,1,2,2,2,2,1
"259",0,0,0,1,2,2,1,4,1
"260",0,0,0,2,1,1,2,2,1
"261",0,0,0,5,1,3,1,0,3
"262",0,0,0,0,5,3,1,3,1
"263",0,0,0,0,4,2,0,1,1
"264",0,0,0,1,2,2,1,2,0
"265",0,0,0,4,0,5,1,2,2
"266",0,0,0,2,0,1,0,1,1
"267",0,0,0,3,1,3,1,3,2
"268",0,0,0,2,0,3,2,1,3
"269",0,0,0,2,2,5,2,3,2
"270",0,0,0,5,3,0,3,1,2
"271",0,0,0,2,2,1,1,0,4
"272",0,0,0,0,1,0,4,6,1
"273",0,0,0,1,4,3,4,1,0
"274",0,0,0,2,4,3,4,2,1
"275",0,0,0,4,0,2,1,3,1
"276",0,0,0,0,1,3,1,3,2
"277",0,0,0,5,3,3,3,2,4
"278",0,0,0,1,2,1,4,2,3
"279",0,0,0,2,4,3,1,3,0
"280",0,0,0,4,4,1,0,4,3
"281",0,0,0,6,1,1,7,0,1
"282",0,0,0,2,4,4,3,1,1
"283",0,0,0,0,1,4,1,2,2
"284",0,0,0,3,4,1,1,2,2
"285",0,0,0,1,0,1,2,4,4
"286",0,0,0,4,1,4,1,1,0
"287",0,0,0,5,1,2,4,2,3
"288",0,0,0,3,6,1,1,3,1
"289",0,0,0,1,3,2,0,4,3
"290",0,0,0,2,4,2,0,3,2
"291",0,0,0,0,2,0,2,1,6
"292",0,0,0,3,4,3,4,1,2
"293",0,0,0,0,2,0,4,1,2
"294",0,0,0,2,5,0,5,0,4
"295",0,0,0,3,1,3,2,3,1
"296",0,0,0,1,3,4,1,3,3
"297",0,0,0,2,1,3,1,1,0
"298",0,0,0,3,1,1,3,4,3
"299",0,0,0,4,2,3,2,3,1
"300",0,0,0,1,2,0,2,3,2
"301",0,0,0,3,4,1,2,3,2
"302",0,0,0,3,2,3,4,2,1
"303",0,0,0,1,2,2,0,2,4
"304",0,0,0,0,4,1,3,1,2
"305",0,0,0,3,5,2,2,1,1
"306",0,0,0,5,3,4,0,2,2
"307",0,0,0,3,5,3,2,3,1
"308",0,0,0,4,1,3,2,1,3
"309",0,0,0,2,1,4,2,2,3
"310",0,0,0,3,2,2,2,0,2
"311",0,0,0,1,8,1,0,0,0
"312",0,0,0,1,1,2,3,3,0
"313",0,0,0,2,4,2,0,1,3
"314",0,0,0,6,4,3,4,0,4
"315",0,0,0,1,3,1,4,1,3
"316",0,0,0,2,0,1,0,3,2
"317",0,0,0,1,3,4,4,0,1
"318",0,0,0,2,2,1,3,1,2
"319",0,0,0,3,1,2,1,0,1
"320",0,0,0,4,1,3,2,2,2
"321",0,0,0,2,2,2,1,1,3
"322",0,0,0,3,1,2,2,1,0
"323",0,0,0,1,2,7,2,2,0
"324",0,0,0,2,1,2,0,1,1
"325",0,0,0,2,3,3,2,5,1
"326",0,0,0,2,3,4,1,1,1
"327",0,0,0,1,2,2,2,1,1
"328",0,0,0,1,3,2,0,0,1
"329",0,0,0,4,1,3,1,2,0
"330",0,0,0,4,1,1,1,2,0
"331",0,0,0,4,1,2,3,2,3
"332",0,0,0,1,2,4,3,1,2
"333",0,0,0,2,2,3,4,2,1
"334",0,0,0,2,2,5,3,1,0
"335",0,0,0,2,1,2,1,6,1
"336",0,0,0,3,4,3,3,0,0
"337",0,0,0,2,5,1,0,3,2
"338",0,0,0,1,0,0,1,1,2
"339",NA,NA,NA,NA,NA,NA,NA,NA,NA
"340",0,0,0,4,1,2,2,1,5
"341",0,0,0,3,3,3,4,3,2
"342",0,0,0,0,2,2,0,0,3
"343",0,0,0,2,3,5,1,3,3
"344",0,0,0,2,3,5,3,4,4
"345",0,0,0,1,4,6,4,2,0
"346",0,0,0,3,4,1,3,3,2
"347",0,0,0,3,5,1,0,2,0
"348",0,0,0,0,1,1,3,2,0
"349",0,0,0,3,0,0,3,3,2
"350",0,0,0,0,4,2,2,1,1
"351",0,0,0,2,1,0,1,0,1
"352",0,0,0,5,3,1,2,1,2
"353",0,0,0,3,2,2,4,2,2
"354",0,0,0,1,2,3,1,2,0
"355",0,0,0,2,3,3,2,5,5
"356",0,0,0,4,2,2,1,2,1
"357",0,0,0,4,3,2,3,3,3
"358",0,0,0,0,4,3,0,3,0
"359",0,0,0,3,2,1,1,5,2
"360",0,0,0,4,4,3,2,2,0
"361",0,0,0,3,2,3,1,0,3
"362",0,0,0,3,0,3,2,5,3
"363",0,0,0,3,1,2,1,4,1
"364",0,0,0,2,1,1,1,1,0
"365",0,0,0,0,3,3,3,3,1
"366",0,0,0,1,1,0,0,2,5
"367",0,0,0,3,1,1,2,4,0
"368",0,0,0,1,2,1,4,3,2
"369",0,0,0,1,0,4,1,2,0
"370",0,0,0,1,1,4,2,0,0
"371",0,0,0,1,4,2,2,4,1
"372",0,0,0,2,1,2,2,1,3
"373",0,0,0,3,1,3,6,0,4
"374",0,0,0,1,3,2,1,4,0
"375",0,0,0,1,5,3,0,2,2
"376",0,0,0,3,4,3,1,2,2
"377",0,0,0,1,3,1,3,1,3
"378",0,0,0,3,3,1,0,1,2
"379",0,0,0,6,0,2,5,2,2
"380",0,0,0,5,2,1,2,2,2
"381",0,0,0,0,5,0,1,3,6
"382",0,0,0,0,1,2,4,3,2
"383",0,0,0,2,0,4,1,2,0
"384",0,0,0,1,6,4,2,0,0
"385",0,0,0,4,1,3,0,2,3
"386",0,0,0,5,3,1,1,3,1
"387",0,0,0,2,4,1,3,1,0
"388",0,0,0,5,3,0,0,1,0
"389",0,0,0,3,2,1,2,2,1
"390",0,0,0,3,2,3,2,1,2
"391",0,0,0,2,0,1,0,0,0
"392",0,0,0,4,2,1,3,4,1
"393",0,0,0,1,2,5,3,3,1
"394",0,0,0,1,1,4,0,0,3
"395",0,0,0,4,3,3,3,1,0
"396",0,0,0,0,3,2,3,1,1
"397",0,0,0,1,1,0,4,2,4
"398",0,0,0,4,0,3,2,3,1
"399",0,0,0,3,1,0,3,2,1
"400",0,0,0,3,3,1,4,1,2
"401",0,0,0,1,1,1,1,3,1
"402",0,0,0,0,3,1,1,1,3
"403",0,0,0,2,1,3,2,3,1
"404",0,0,0,5,1,1,1,1,3
"405",0,0,0,3,2,1,2,2,0
"406",0,0,0,3,2,1,0,1,2
"407",0,0,0,4,3,2,1,1,0
"408",0,0,0,2,4,0,1,2,1
"409",0,0,0,3,2,2,2,0,6
"410",0,0,0,1,2,4,1,2,3
"411",0,0,0,1,2,0,1,2,0
"412",0,0,0,2,0,1,2,2,4
"413",0,0,0,1,0,1,1,2,0
"414",0,0,0,5,1,1,3,3,2
"415",0,0,0,2,1,2,3,2,3
"416",0,0,0,4,4,3,2,2,3
"417",0,0,0,4,0,2,2,4,1
"418",0,0,0,3,2,2,3,2,1
"419",0,0,0,1,1,4,3,4,0
"420",0,0,0,1,4,2,3,1,1
"421",0,0,0,2,1,2,2,1,3
"422",0,0,0,1,1,1,3,4,2
"423",0,0,0,3,3,3,2,0,4
"424",0,0,0,4,0,1,3,1,3
"425",0,0,0,4,1,1,0,4,3
"426",0,0,0,3,1,2,3,1,0
"427",0,0,0,2,1,2,2,5,2
"428",0,0,0,1,4,4,0,1,4
"429",0,0,0,4,0,2,2,1,2
"430",0,0,0,6,6,2,3,0,7
"431",0,0,0,2,3,2,0,4,1
"432",0,0,0,2,2,1,2,3,5
"433",0,0,0,3,1,5,2,1,3
"434",0,0,0,4,0,3,1,4,0
"435",0,0,0,3,3,4,3,2,1
"436",0,0,0,2,3,2,3,1,2
"437",0,0,0,1,1,4,0,2,2
"438",0,0,0,2,4,1,3,2,3
"439",0,0,0,1,5,6,3,3,3
"440",0,0,0,1,2,3,4,1,2
"441",0,0,0,4,1,2,3,2,3
"442",0,0,0,2,3,4,1,2,1
"443",0,0,0,2,1,1,1,1,2
"444",0,0,0,1,5,1,3,3,1
"445",0,0,0,1,1,3,2,3,2
"446",0,0,0,2,2,2,0,4,1
"447",0,0,0,0,0,4,0,6,1
"448",0,0,0,3,1,3,1,3,2
"449",0,0,0,1,0,3,2,4,3
"450",0,0,0,1,2,2,3,1,0
"451",0,0,0,1,5,3,2,6,0
"452",0,0,0,2,6,2,0,1,0
"453",0,0,0,0,4,1,0,0,2
"454",0,0,0,0,3,4,4,0,2
"455",0,0,0,3,4,1,3,1,1
"456",0,0,0,1,3,1,4,2,1
"457",0,0,0,3,1,2,4,2,0
"458",0,0,0,1,2,1,2,0,2
"459",0,0,0,3,2,2,1,0,1
"460",0,0,0,1,3,2,2,2,3
"461",0,0,0,3,1,2,2,2,3
"462",0,0,0,1,2,2,3,1,1
"463",0,0,0,2,1,0,1,2,1
"464",0,0,0,3,2,1,2,0,4
"465",0,0,0,3,0,3,1,0,1
"466",0,0,0,0,0,1,4,0,3
"467",0,0,0,1,2,3,0,2,3
"468",0,0,0,3,2,2,2,2,2
"469",0,0,0,2,0,2,0,2,1
"470",0,0,0,1,2,3,0,0,4
"471",0,0,0,2,1,2,2,3,1
"472",0,0,0,1,1,3,2,0,2
"473",0,0,0,3,1,1,1,1,0
"474",0,0,0,2,3,3,3,4,1
"475",0,0,0,2,1,2,2,3,2
"476",0,0,0,1,3,1,4,1,4
"477",0,0,0,2,5,0,1,5,2
"478",0,0,0,1,1,4,1,4,0
"479",0,0,0,1,1,6,2,0,0
"480",0,0,0,1,3,4,1,2,0
"481",0,0,0,3,2,1,3,1,0
"482",0,0,0,3,3,3,4,2,1
"483",0,0,0,1,3,1,3,0,0
"484",0,0,0,3,1,3,1,3,1
"485",0,0,0,1,1,1,0,4,4
"486",0,0,0,2,1,2,3,3,1
"487",0,0,0,3,2,1,2,2,1
"488",0,0,0,3,2,0,2,6,4
"489",0,0,0,5,3,2,1,1,3
"490",0,0,0,5,5,2,3,2,1
"491",0,0,0,2,2,1,3,2,3
"492",0,0,0,4,3,3,2,0,1
"493",0,0,0,2,1,5,2,3,2
"494",0,0,0,1,3,0,5,1,2
"495",0,0,0,1,2,3,2,5,1
"496",0,0,0,3,3,1,1,2,0
"497",0,0,0,1,3,1,2,2,1
"498",0,0,0,2,2,3,1,3,0
"499",0,0,0,2,0,3,0,4,0
"500",0,0,0,3,1,0,2,3,2
"501",0,0,0,0,4,2,1,5,1
"502",0,0,0,1,1,4,2,2,2
"503",0,0,0,1,1,3,1,1,3
"504",0,0,0,2,3,1,4,2,0
"505",0,0,0,3,2,1,2,3,3
"506",0,0,0,3,1,0,5,0,4
"507",0,0,0,3,1,2,0,1,5
"508",0,0,0,1,1,3,0,1,0
"509",0,0,0,4,2,4,2,0,1
"510",0,0,0,0,3,0,3,2,0
"511",0,0,0,5,1,2,3,0,4
"512",0,0,0,1,2,2,1,1,1
"513",0,0,0,2,4,0,4,2,3
"514",0,0,0,2,0,4,2,1,2
"515",0,0,0,2,1,2,2,2,2
"516",0,0,0,3,1,0,0,3,2
"517",0,0,0,3,2,2,3,2,3
"518",0,0,0,1,5,0,4,1,0
"519",0,0,0,2,3,3,3,1,1
"520",0,0,0,3,0,2,2,1,1
"521",0,0,0,1,0,0,8,1,1
"522",0,0,0,3,4,3,0,5,3
"523",0,0,0,4,4,0,2,3,3
"524",0,0,0,1,6,0,0,4,2
"525",0,0,0,2,1,1,2,2,3
"526",0,0,0,2,3,0,2,1,3
"527",0,0,0,2,2,2,3,0,3
"528",0,0,0,5,2,2,2,2,2
"529",0,0,0,2,0,1,3,4,2
"530",0,0,0,1,1,4,1,3,3
"531",0,0,0,1,2,3,0,1,3
"532",0,0,0,4,3,2,1,3,2
"533",0,0,0,2,2,2,2,4,1
"534",0,0,0,2,2,2,1,2,1
"535",0,0,0,3,4,1,1,4,1
"536",0,0,0,5,2,1,1,1,0
"537",0,0,0,1,3,3,2,1,2
"538",0,0,0,2,2,3,2,1,0
"539",0,0,0,0,3,7,2,2,1
"540",0,0,0,2,2,1,1,3,2
"541",0,0,0,2,3,4,1,3,0
"542",0,0,0,1,4,3,0,0,2
"543",0,0,0,4,2,1,0,5,5
"544",0,0,0,1,6,3,2,2,2
"545",0,0,0,5,2,0,2,6,1
"546",0,0,0,3,3,1,4,3,2
"547",0,0,0,0,2,1,4,0,0
"548",0,0,0,3,3,2,1,1,1
"549",0,0,0,2,2,2,4,3,2
"550",0,0,0,1,1,3,2,2,3
"551",NA,NA,NA,NA,NA,NA,NA,NA,NA
"552",0,0,0,1,3,1,0,0,4
"553",0,0,0,0,1,1,5,1,2
"554",0,0,0,3,1,3,3,5,1
"555",0,0,0,6,1,3,2,0,3
"556",0,0,0,4,3,3,2,1,1
"557",0,0,0,4,0,2,1,4,0
"558",0,0,0,1,2,0,1,2,3
"559",0,0,0,3,1,6,2,3,1
"560",0,0,0,3,4,0,2,2,3
"561",0,0,0,2,1,5,3,2,2
"562",0,0,0,1,1,2,2,2,0
"563",0,0,0,4,2,3,0,2,1
"564",0,0,0,3,3,2,1,1,1
"565",0,0,0,1,0,3,0,1,6
