"","V1","V2","V3","V4","V5"
"1",6,9,18,15,12
"2",9,12,12,15,12
"3",12,6,12,18,12
"4",9,9,18,15,9
"5",12,6,18,15,9
"6",12,12,15,12,9
"7",12,9,12,15,12
"8",15,15,12,15,3
"9",12,12,9,9,18
"10",12,15,18,15,NA
"11",9,12,9,15,15
"12",27,12,21,NA,NA
"13",12,6,12,18,12
"14",12,12,9,21,6
"15",12,15,18,15,NA
"16",6,12,15,15,12
"17",6,9,18,15,12
"18",12,9,15,9,15
"19",9,9,9,18,15
"20",12,6,12,18,12
"21",12,9,15,12,12
"22",6,15,15,12,12
"23",15,12,9,12,12
"24",9,12,15,6,18
"25",12,9,24,15,NA
"26",9,9,12,15,15
"27",9,12,15,15,9
"28",12,15,15,18,NA
"29",12,15,15,9,9
"30",12,6,18,12,12
"31",9,9,12,12,18
"32",12,9,9,12,18
"33",15,12,15,9,9
"34",9,12,18,12,9
"35",12,12,12,9,15
"36",12,9,9,21,9
"37",12,9,15,15,9
"38",9,12,12,12,15
"39",15,9,12,15,9
"40",15,12,21,12,NA
"41",15,15,15,15,NA
"42",12,6,18,18,6
"43",18,9,18,12,3
"44",18,6,12,9,15
"45",15,18,24,3,NA
"46",9,15,18,9,9
"47",12,6,21,15,6
"48",12,6,12,15,15
"49",12,15,9,15,9
"50",12,12,21,15,NA
"51",6,12,15,15,12
"52",6,12,12,15,15
"53",6,15,12,15,12
"54",9,12,6,18,15
"55",12,9,18,21,NA
"56",9,9,12,12,18
"57",9,12,9,12,18
"58",9,12,9,15,15
"59",12,12,15,18,3
"60",15,12,18,15,NA
"61",9,6,21,15,9
"62",15,12,15,6,12
"63",18,12,18,12,NA
"64",9,12,15,18,6
"65",6,24,27,3,NA
"66",6,12,27,15,NA
"67",9,12,6,18,15
"68",15,6,18,21,NA
"69",15,12,15,12,6
"70",9,15,21,15,NA
"71",12,9,18,18,3
"72",9,12,6,21,12
"73",6,15,15,18,6
"74",9,15,21,9,6
"75",9,12,9,18,12
"76",9,21,12,18,NA
"77",12,21,15,12,NA
"78",12,12,12,15,9
"79",12,6,15,15,12
"80",9,6,15,15,15
"81",12,6,12,18,12
"82",12,15,12,9,12
"83",15,9,18,18,NA
"84",9,12,12,12,15
"85",12,6,15,15,12
"86",12,9,18,21,NA
"87",6,9,15,9,21
"88",21,6,18,15,NA
"89",9,18,12,9,12
"90",15,9,15,9,12
"91",15,15,9,9,12
"92",15,12,9,15,9
"93",9,6,12,15,18
"94",9,6,15,15,15
"95",9,15,12,12,12
"96",27,18,3,9,3
"97",9,15,9,15,12
"98",12,12,18,18,NA
"99",12,15,9,15,9
"100",9,12,15,12,12
"101",9,18,12,12,9
"102",12,6,9,12,21
"103",12,15,15,9,9
"104",18,6,21,15,NA
"105",9,12,9,18,12
"106",12,9,12,12,15
"107",9,9,12,15,15
"108",15,15,15,9,6
"109",15,6,15,18,6
"110",12,9,12,15,12
"111",9,12,15,24,NA
"112",15,12,18,15,NA
"113",9,9,12,12,18
"114",12,12,9,12,15
"115",15,9,9,18,9
"116",9,18,15,6,12
"117",12,9,18,12,9
"118",9,9,15,12,15
"119",21,6,9,15,9
"120",18,9,18,6,9
"121",9,12,9,12,18
"122",9,15,18,9,9
"123",9,12,12,12,15
"124",9,9,15,18,9
"125",9,18,12,12,9
"126",18,9,9,18,6
"127",6,9,15,18,12
"128",12,9,18,12,9
"129",15,12,15,12,6
"130",9,15,12,12,12
"131",9,18,15,9,9
"132",12,9,15,12,12
"133",15,12,9,9,15
"134",15,6,12,12,15
"135",6,9,12,15,18
"136",9,9,12,15,15
"137",12,9,9,15,15
"138",9,9,15,12,15
"139",15,12,12,12,9
"140",15,15,6,12,12
"141",15,15,12,9,9
"142",6,15,12,12,15
"143",15,12,6,12,15
"144",12,18,9,12,9
"145",15,12,6,15,12
"146",42,18,NA,NA,NA
"147",6,21,15,18,NA
"148",9,12,15,12,12
"149",6,9,15,30,NA
"150",33,9,6,NA,NA
"151",9,12,15,9,15
"152",9,12,12,12,15
"153",15,9,12,12,12
"154",9,6,15,18,12
"155",9,6,9,21,15
"156",12,6,9,18,15
"157",15,9,15,21,NA
"158",12,12,12,9,15
"159",12,6,18,15,9
"160",15,9,9,12,15
"161",12,12,12,18,6
"162",12,9,9,18,12
"163",12,15,9,12,12
"164",9,12,15,12,12
"165",12,18,15,15,NA
"166",9,15,12,12,12
"167",6,12,18,12,12
"168",9,15,12,18,6
"169",6,12,18,12,12
"170",6,18,9,12,15
"171",15,12,24,9,NA
"172",15,9,30,6,NA
"173",12,15,12,12,9
"174",9,12,12,12,15
"175",9,12,15,9,15
"176",12,9,15,9,15
"177",6,15,15,12,12
"178",9,9,15,12,15
"179",12,15,15,6,12
"180",18,9,12,12,9
"181",12,9,15,12,12
"182",15,12,15,12,6
"183",6,15,15,15,9
"184",12,15,9,12,12
"185",15,9,12,9,15
"186",9,9,27,15,NA
"187",12,15,12,12,9
"188",9,12,12,18,9
"189",18,12,15,15,NA
"190",6,12,12,18,12
"191",12,12,12,12,12
"192",9,6,12,18,15
"193",6,21,9,12,12
"194",15,9,9,12,15
"195",12,12,15,9,12
"196",9,12,21,18,NA
"197",12,9,15,12,12
"198",12,9,12,6,21
"199",15,6,15,12,12
"200",9,9,18,9,15
"201",15,12,9,9,15
"202",6,15,18,21,NA
"203",12,9,15,15,9
"204",15,9,6,15,15
"205",6,12,9,15,18
"206",9,9,18,9,15
"207",15,6,9,15,15
"208",12,18,30,NA,NA
"209",9,9,15,9,18
"210",12,12,15,12,9
"211",15,9,15,9,12
"212",12,15,12,9,12
"213",9,9,12,15,15
"214",12,15,18,15,NA
"215",9,15,9,12,15
"216",12,12,18,18,NA
"217",9,12,12,9,18
"218",12,9,12,12,15
"219",12,12,12,12,12
"220",6,12,15,15,12
"221",12,18,12,18,NA
"222",9,9,15,12,15
"223",12,9,9,15,15
"224",12,15,12,9,12
"225",9,9,18,15,9
"226",12,12,15,12,9
"227",9,9,18,12,12
"228",6,12,12,15,15
"229",18,18,18,3,3
"230",12,9,6,12,21
"231",15,15,15,15,NA
"232",12,12,9,12,15
"233",24,12,12,12,NA
"234",12,18,21,9,NA
"235",6,12,15,15,12
"236",12,12,12,9,15
"237",15,15,9,9,12
"238",9,12,15,12,12
"239",15,12,12,12,9
"240",9,12,12,18,9
"241",15,9,12,12,12
"242",12,12,9,15,12
"243",15,9,21,15,NA
"244",12,15,15,12,6
"245",18,15,15,12,NA
"246",12,12,12,6,18
"247",9,9,9,21,12
"248",15,9,12,9,15
"249",9,6,15,18,12
"250",12,12,15,12,9
"251",12,12,9,12,15
"252",12,9,18,12,9
"253",9,15,9,12,15
"254",9,15,12,12,12
"255",12,12,12,12,12
"256",9,9,12,12,18
"257",15,12,15,9,9
"258",9,12,12,12,15
"259",18,9,9,12,12
"260",15,9,12,12,12
"261",12,9,12,15,12
"262",12,12,12,9,15
"263",15,12,12,9,12
"264",12,12,12,12,12
"265",9,15,36,NA,NA
