"","V1","V2","V3","V4","V5"
"1",1,1,0,0,0
"2",1,1,0,0,0
"3",1,1,0,0,0
"4",1,1,0,0,NA
"5",1,1,0,0,0
"6",1,1,0,0,0
"7",1,1,0,0,0
"8",1,0,0,NA,NA
"9",1,1,0,0,0
"10",0,0,0,0,0
"11",1,1,0,0,0
"12",1,1,0,0,1
"13",0,0,0,0,0
"14",1,1,0,0,0
"15",0,1,0,0,NA
"16",1,1,0,0,0
"17",1,1,0,0,NA
"18",1,0,1,0,0
"19",1,1,0,0,0
"20",1,1,0,0,0
"21",1,1,0,0,0
"22",1,1,1,0,0
"23",1,1,0,0,0
"24",1,1,0,0,NA
"25",1,0,0,0,0
"26",1,1,0,0,NA
"27",1,1,0,0,0
"28",1,1,0,0,0
"29",0,1,0,0,0
"30",0,0,0,0,0
"31",1,0,0,0,0
"32",1,1,0,0,0
"33",0,1,0,0,0
"34",1,1,0,0,0
"35",1,1,0,0,NA
"36",1,1,0,0,0
"37",1,1,0,0,NA
"38",0,0,0,0,0
"39",1,0,0,0,0
"40",1,1,0,0,0
"41",1,0,0,0,0
"42",0,1,0,0,0
"43",1,1,1,0,0
"44",0,0,0,0,0
"45",1,1,0,0,0
"46",0,1,0,0,0
"47",0,1,1,0,0
"48",1,0,0,0,0
"49",0,1,0,0,0
"50",1,1,0,0,NA
"51",1,1,1,0,1
"52",1,1,1,0,1
"53",0,0,0,0,0
"54",0,0,0,0,0
"55",1,0,0,0,NA
"56",0,1,0,0,0
"57",1,1,0,0,1
"58",0,1,0,0,0
"59",0,1,0,0,0
"60",0,0,0,0,0
"61",0,1,0,0,0
"62",1,0,1,0,0
"63",1,0,0,0,0
"64",1,1,0,1,0
"65",0,1,0,0,0
"66",1,1,1,0,0
"67",1,1,0,0,0
"68",1,1,0,0,NA
"69",1,1,1,0,0
"70",1,0,0,0,1
"71",1,1,0,0,0
"72",0,1,0,1,0
"73",0,0,0,0,0
"74",0,1,0,0,0
"75",0,1,0,0,0
"76",1,0,0,0,0
"77",0,1,0,0,0
"78",0,1,0,0,0
"79",0,1,0,0,0
"80",0,0,1,0,1
"81",1,1,0,0,0
"82",1,0,0,0,0
"83",1,0,0,0,0
"84",1,0,0,0,0
"85",1,1,0,0,0
"86",0,0,0,0,0
"87",0,1,0,0,NA
"88",0,1,0,0,0
"89",1,1,0,0,0
"90",1,0,0,0,0
"91",0,1,0,0,0
"92",1,0,0,0,0
"93",1,1,0,0,0
"94",1,1,0,0,0
"95",1,0,0,0,0
"96",0,0,0,0,0
"97",1,0,1,0,0
"98",1,1,0,0,0
"99",1,1,0,0,0
"100",1,0,0,0,0
"101",1,1,0,0,0
"102",1,0,0,0,0
"103",1,0,0,0,NA
"104",1,0,0,NA,NA
"105",1,0,0,0,0
"106",0,0,0,0,0
"107",1,0,1,0,0
"108",0,0,0,0,0
"109",1,0,0,0,0
"110",1,0,0,0,0
"111",1,0,0,0,0
"112",0,0,0,0,0
"113",1,0,0,0,0
"114",1,0,0,0,0
"115",1,1,0,0,0
"116",0,0,0,0,0
"117",1,0,0,0,0
"118",1,1,0,0,1
"119",1,0,0,0,0
"120",1,0,0,NA,NA
"121",1,1,1,0,0
"122",1,1,0,0,NA
"123",1,0,0,0,0
"124",1,1,0,0,0
"125",1,1,0,0,0
"126",1,0,0,0,0
"127",1,1,0,0,0
"128",1,1,0,0,0
"129",1,0,0,0,0
"130",1,1,0,0,0
"131",1,0,0,0,0
"132",1,1,0,0,0
"133",0,0,0,0,0
"134",1,1,0,0,0
"135",0,1,0,0,0
"136",1,1,1,0,0
"137",0,1,0,0,0
"138",0,1,0,0,0
"139",0,0,0,0,0
"140",1,0,0,0,0
"141",0,1,0,0,0
"142",0,0,0,0,0
"143",0,1,0,0,0
"144",1,1,0,0,0
"145",1,1,0,0,0
"146",0,0,1,0,0
"147",0,1,0,0,0
"148",1,1,0,0,0
"149",0,0,0,0,0
"150",0,1,0,0,1
"151",1,1,0,0,0
"152",1,1,0,0,1
"153",1,1,0,0,0
"154",1,0,0,0,0
"155",1,1,1,0,NA
"156",1,0,0,1,0
"157",NA,NA,NA,NA,NA
"158",1,0,0,0,0
"159",1,1,1,0,0
"160",1,1,1,0,0
"161",0,1,0,0,0
"162",1,1,0,1,0
"163",0,0,0,0,0
"164",0,1,0,0,0
"165",0,0,0,0,0
"166",0,0,0,0,0
"167",1,1,0,NA,NA
"168",1,1,0,0,0
"169",0,0,0,0,0
"170",1,1,0,0,0
"171",0,1,0,0,0
"172",1,1,0,0,0
"173",0,0,0,0,1
"174",1,1,0,0,0
"175",1,1,0,0,0
"176",1,0,0,0,0
"177",1,1,0,0,0
"178",0,1,0,0,0
"179",1,0,0,0,NA
"180",1,1,0,0,0
"181",1,1,0,0,0
"182",1,0,0,0,0
"183",1,1,0,0,0
"184",1,1,0,0,0
"185",0,0,1,0,0
"186",1,1,0,0,0
"187",0,1,0,0,0
"188",0,0,0,0,0
"189",0,1,0,0,0
"190",1,0,0,0,0
"191",1,0,0,0,0
"192",NA,NA,NA,NA,NA
"193",1,0,0,0,0
"194",1,0,0,0,0
"195",1,1,0,0,0
"196",1,0,0,0,0
"197",0,1,0,1,NA
"198",1,0,0,0,0
"199",0,1,0,0,0
"200",1,1,0,0,0
"201",1,0,0,0,0
"202",1,0,0,0,0
"203",1,1,0,0,0
"204",1,1,0,0,0
"205",1,1,0,0,0
"206",1,0,0,0,0
"207",1,0,0,0,0
"208",0,0,0,0,0
"209",0,1,0,0,0
"210",1,1,0,0,0
"211",0,1,0,0,0
"212",1,1,0,0,0
"213",1,1,0,0,0
"214",0,0,0,0,0
"215",0,0,0,0,1
"216",1,0,1,0,0
"217",1,1,1,0,0
"218",1,1,0,0,0
"219",1,0,1,0,0
"220",0,1,0,0,0
"221",1,1,0,0,0
"222",1,1,0,0,0
"223",1,1,0,0,0
"224",0,0,0,0,0
"225",1,1,0,0,0
"226",0,0,1,0,0
"227",0,0,0,0,0
"228",1,1,0,0,NA
"229",1,0,0,0,0
"230",1,0,0,0,0
"231",1,1,0,0,0
"232",1,0,0,0,NA
"233",1,1,1,0,0
"234",0,1,0,0,0
"235",1,1,0,0,0
"236",0,1,0,0,0
"237",1,1,0,0,0
"238",1,0,0,0,0
"239",1,0,0,1,0
"240",0,0,0,0,0
"241",0,1,0,0,0
"242",1,0,0,0,0
"243",1,1,0,0,NA
"244",1,0,0,0,0
"245",1,0,0,0,0
"246",1,1,0,0,0
"247",1,1,1,1,0
"248",1,1,0,0,0
"249",1,0,0,0,0
"250",0,1,0,0,0
"251",1,1,0,1,0
"252",0,0,0,0,0
"253",1,0,0,0,0
"254",1,1,0,0,0
"255",1,0,0,0,0
"256",1,0,0,0,NA
"257",1,0,1,0,0
"258",0,0,0,0,0
"259",0,1,0,0,0
"260",1,1,0,0,0
"261",1,1,0,0,NA
"262",1,1,0,0,0
"263",1,0,1,0,0
"264",1,1,0,0,0
"265",1,1,0,0,0
"266",1,0,0,0,0
"267",1,1,0,0,0
"268",0,1,0,0,0
"269",1,0,0,0,0
"270",0,1,0,0,NA
"271",0,1,0,0,0
"272",1,1,0,0,0
"273",1,1,0,1,0
"274",1,0,0,0,0
"275",1,1,0,0,0
"276",0,0,0,0,0
"277",0,1,0,0,NA
"278",1,0,0,0,0
"279",1,1,0,0,0
"280",1,0,0,0,0
"281",1,1,0,0,0
"282",0,0,0,0,0
"283",1,0,0,NA,NA
"284",0,1,1,0,0
"285",1,1,0,NA,NA
"286",1,0,0,0,0
"287",0,1,0,0,0
"288",1,1,0,0,NA
"289",1,0,0,0,0
"290",0,1,1,0,0
"291",0,1,0,0,0
"292",1,1,0,0,1
"293",0,0,1,0,0
"294",1,0,0,0,0
"295",1,0,0,1,0
"296",1,1,1,0,0
"297",1,1,0,0,0
"298",1,1,0,0,0
"299",1,1,0,0,NA
"300",1,0,0,0,0
"301",0,1,0,0,0
"302",1,0,0,0,0
"303",1,0,0,0,0
"304",1,0,0,0,NA
"305",1,1,0,0,0
"306",1,1,0,0,0
"307",0,1,0,0,0
"308",1,1,0,0,NA
"309",1,1,0,0,0
"310",1,1,0,0,0
"311",0,1,0,1,NA
"312",1,1,1,0,0
"313",1,1,1,0,0
"314",0,1,0,0,NA
"315",1,0,0,0,NA
"316",0,0,1,0,0
"317",0,1,0,0,1
"318",0,0,0,0,0
"319",0,1,0,0,NA
"320",1,0,0,0,NA
"321",1,1,0,0,0
"322",0,1,0,0,0
"323",0,1,0,0,0
"324",1,0,0,0,NA
"325",1,1,0,0,0
"326",1,1,0,0,0
"327",1,0,0,0,0
"328",0,1,0,0,0
"329",1,0,1,0,0
"330",0,1,0,0,0
"331",1,0,0,0,0
"332",0,1,0,0,0
"333",1,0,0,0,0
"334",0,1,0,0,0
"335",0,1,0,0,0
"336",0,1,1,0,0
"337",0,0,0,0,0
"338",0,1,0,0,0
"339",1,0,0,0,0
"340",1,1,0,0,0
"341",1,1,0,0,0
"342",1,0,0,0,0
"343",1,0,0,0,0
"344",1,0,0,0,0
"345",1,1,0,0,NA
"346",0,0,0,0,NA
"347",1,0,0,0,0
"348",1,1,0,0,0
"349",0,1,0,0,0
"350",1,0,0,0,0
"351",1,1,0,0,0
"352",0,0,0,0,0
"353",1,0,0,0,0
"354",1,1,0,0,0
"355",1,1,0,0,0
"356",1,0,0,1,0
"357",1,1,0,0,0
"358",1,0,1,0,0
"359",1,0,0,0,0
"360",0,0,1,0,0
"361",1,1,0,1,NA
"362",1,1,1,0,0
"363",1,1,0,0,0
"364",1,0,1,0,0
"365",1,0,0,0,0
"366",1,1,0,0,0
"367",1,1,0,0,0
"368",0,0,0,0,0
"369",1,1,0,0,0
"370",1,0,0,0,0
"371",0,1,0,0,0
"372",1,0,0,0,0
"373",0,1,0,0,1
"374",1,0,0,0,0
"375",1,0,1,0,0
"376",1,1,0,0,NA
"377",0,1,0,0,0
"378",1,0,0,0,NA
"379",0,1,0,0,0
"380",1,1,0,0,0
"381",0,1,0,0,0
"382",1,1,0,0,0
"383",1,0,0,0,0
"384",1,1,0,0,NA
"385",1,1,0,0,0
"386",0,0,0,0,0
"387",0,1,0,1,0
"388",1,0,0,0,0
"389",1,1,0,0,0
"390",1,1,0,0,0
"391",0,1,1,1,0
"392",1,0,0,0,0
"393",1,1,0,0,0
"394",1,1,0,0,0
"395",1,0,0,0,0
"396",1,0,0,0,NA
"397",1,1,0,0,0
"398",1,1,0,0,0
"399",1,1,0,0,0
"400",1,1,0,0,0
"401",1,1,0,0,0
"402",1,0,0,0,0
"403",1,0,0,0,NA
"404",1,1,0,0,0
"405",0,0,0,0,0
"406",1,1,0,0,0
"407",1,0,1,0,0
"408",0,0,0,0,0
"409",1,0,0,0,0
"410",0,1,0,0,0
"411",0,1,0,0,NA
"412",1,1,0,0,0
"413",1,1,0,1,0
"414",1,0,0,0,NA
"415",0,1,0,0,0
"416",1,0,0,0,0
"417",1,1,0,0,0
"418",0,0,0,0,0
"419",1,1,0,0,0
"420",1,0,0,0,0
"421",1,1,0,0,0
"422",0,1,0,0,0
"423",1,1,0,0,NA
"424",1,0,0,0,0
"425",1,1,0,NA,NA
"426",1,1,0,0,0
"427",1,1,0,0,0
"428",1,0,0,0,0
"429",1,1,1,0,NA
"430",1,0,0,0,0
"431",0,1,0,0,0
"432",0,0,0,0,0
"433",1,1,0,0,0
"434",1,0,0,0,0
"435",1,0,0,0,0
"436",0,0,0,0,0
"437",1,0,0,0,0
"438",1,1,1,0,0
"439",1,0,0,0,0
"440",1,0,0,0,0
"441",0,1,0,0,NA
"442",1,1,0,0,0
"443",1,1,0,0,1
"444",1,1,0,0,0
"445",0,0,0,0,0
"446",1,1,1,0,0
"447",0,0,0,0,0
"448",0,0,0,0,0
"449",1,1,0,0,0
"450",0,1,0,0,0
"451",1,1,0,0,0
"452",0,1,0,0,0
"453",1,1,0,0,0
"454",1,0,0,0,0
"455",1,0,0,0,0
"456",1,1,0,0,0
"457",0,1,0,0,0
"458",1,1,0,0,0
"459",1,1,0,0,0
"460",1,0,0,0,0
"461",0,0,0,0,0
"462",1,0,0,0,0
"463",0,1,0,0,0
"464",0,1,0,0,0
"465",1,1,0,0,0
"466",1,0,1,0,0
"467",0,1,0,1,0
"468",1,1,0,0,0
"469",0,0,0,0,0
"470",0,1,0,0,0
"471",1,1,0,0,0
"472",0,0,0,0,0
"473",0,0,0,0,1
"474",1,1,0,0,0
"475",1,0,0,0,1
"476",1,0,0,0,0
"477",1,1,0,0,NA
"478",1,1,0,0,0
"479",0,0,0,0,0
"480",NA,NA,NA,NA,NA
"481",1,1,0,0,0
"482",1,1,0,0,0
"483",1,1,0,0,NA
"484",1,0,0,0,0
"485",1,1,0,1,0
"486",0,1,0,0,0
"487",0,1,0,0,0
"488",0,0,0,0,0
"489",1,1,0,1,0
"490",1,0,1,0,0
"491",1,1,0,0,0
"492",0,0,0,0,0
"493",1,1,0,0,NA
"494",1,1,0,0,NA
"495",1,1,0,0,0
"496",1,1,0,0,0
"497",1,1,0,0,0
"498",1,0,0,0,NA
"499",1,1,1,0,0
"500",1,0,0,0,0
"501",1,0,0,0,0
"502",1,1,0,0,0
"503",1,0,0,0,0
"504",1,1,1,0,0
"505",1,0,0,0,0
"506",1,0,0,0,0
"507",1,1,0,0,0
"508",1,1,0,0,0
"509",1,0,0,0,0
"510",1,0,0,0,0
"511",0,0,0,0,0
"512",1,1,0,0,0
"513",1,1,0,0,NA
"514",0,0,0,0,1
"515",1,1,0,0,NA
"516",1,1,0,0,0
"517",1,0,1,1,0
"518",0,1,0,0,0
"519",1,0,0,0,0
"520",0,0,0,0,0
"521",0,0,1,0,0
"522",1,1,1,NA,NA
"523",1,0,0,0,0
"524",0,1,1,0,0
"525",1,0,0,0,0
"526",1,1,0,0,1
"527",1,1,0,0,0
"528",1,1,0,0,0
"529",1,1,1,0,0
"530",1,0,0,0,0
"531",1,1,0,0,0
"532",0,0,0,0,0
"533",1,0,1,0,NA
"534",0,1,0,0,0
"535",1,0,0,0,0
"536",1,0,0,0,1
"537",1,0,0,0,1
"538",1,1,0,0,0
"539",1,1,0,0,1
"540",0,1,0,0,NA
"541",NA,NA,NA,NA,NA
"542",1,1,0,0,0
"543",1,0,0,0,0
"544",1,0,0,0,0
"545",0,0,1,0,0
"546",0,0,0,0,0
"547",1,0,0,0,0
"548",1,1,0,0,0
"549",1,1,0,0,0
"550",1,0,0,0,0
"551",1,1,0,0,NA
"552",0,0,0,0,0
"553",1,1,0,0,0
"554",0,0,0,0,NA
"555",0,1,0,1,0
"556",0,1,0,0,0
"557",1,0,0,0,0
"558",1,0,0,0,NA
"559",1,1,0,0,0
"560",0,0,0,0,NA
"561",0,0,0,0,NA
"562",1,0,0,0,NA
"563",0,1,0,0,0
"564",1,0,0,0,0
"565",0,1,0,0,0
"566",0,1,0,0,0
"567",1,0,0,0,NA
"568",1,1,0,0,NA
"569",0,1,0,0,0
"570",0,1,0,0,0
"571",1,1,0,0,1
"572",1,1,0,0,0
"573",1,0,0,0,0
"574",1,1,0,0,0
"575",1,1,0,0,0
"576",1,1,0,0,0
"577",0,1,0,1,0
"578",0,1,0,0,0
"579",1,0,0,0,0
"580",0,1,0,0,0
"581",1,1,0,0,0
"582",1,1,0,0,0
"583",1,0,0,0,0
"584",0,1,0,0,0
"585",0,1,0,0,0
"586",1,1,0,0,0
"587",1,0,1,0,0
"588",1,1,0,0,0
"589",1,0,0,0,0
"590",1,1,0,0,0
"591",0,1,0,1,0
"592",1,0,0,0,0
"593",1,1,0,0,0
"594",0,1,0,0,1
"595",1,1,0,0,NA
"596",1,0,0,0,0
"597",1,1,0,0,0
"598",0,0,0,0,0
"599",1,1,0,0,0
"600",1,0,0,0,0
"601",0,1,0,0,0
"602",0,1,0,0,0
"603",1,0,0,0,0
"604",1,1,0,0,0
"605",0,1,0,0,0
"606",1,1,0,0,0
"607",1,1,0,0,0
"608",1,1,0,0,NA
"609",0,1,0,0,0
"610",0,1,1,0,0
"611",1,1,0,0,0
"612",1,0,0,0,0
"613",0,1,0,0,0
"614",1,1,0,0,0
"615",1,0,0,0,0
"616",1,0,0,0,0
"617",1,0,0,0,NA
"618",1,0,1,0,0
"619",1,1,0,0,0
"620",1,1,0,0,0
"621",1,1,0,1,0
"622",1,0,0,0,0
"623",0,1,0,0,0
"624",1,1,0,0,0
"625",1,1,0,0,0
"626",0,1,1,0,0
"627",1,1,0,0,0
"628",1,0,0,0,0
"629",1,1,1,0,0
"630",1,0,0,0,0
"631",0,0,0,0,0
"632",1,1,0,0,0
"633",0,1,0,0,0
"634",1,0,1,0,0
"635",1,0,0,0,0
"636",1,1,0,0,NA
"637",0,0,0,0,0
"638",0,1,1,0,0
"639",0,0,0,0,0
"640",1,1,0,0,0
"641",1,1,0,1,0
"642",1,1,0,0,0
"643",1,0,0,0,0
"644",1,1,0,0,NA
"645",1,0,0,0,0
"646",1,1,0,0,0
"647",1,1,0,0,0
"648",1,0,1,0,0
"649",0,1,0,0,0
"650",0,0,0,0,0
"651",0,1,1,0,0
"652",1,1,0,0,0
"653",0,1,0,0,0
"654",0,0,0,0,0
"655",1,0,0,NA,NA
"656",1,1,0,0,0
"657",1,0,0,0,0
"658",1,0,0,0,0
"659",1,0,0,0,0
"660",1,0,0,0,0
"661",0,0,0,0,0
"662",0,0,0,0,0
"663",0,0,0,0,0
"664",1,0,0,0,0
"665",1,1,0,0,NA
"666",1,1,0,0,0
"667",1,0,1,0,0
"668",1,0,0,0,0
"669",0,0,0,0,0
"670",1,1,1,0,0
"671",1,1,0,0,0
"672",1,1,0,0,0
"673",1,1,0,0,0
"674",0,0,0,0,0
"675",1,1,1,0,0
"676",0,0,0,0,0
"677",1,1,0,0,0
"678",1,1,0,0,0
"679",1,1,1,0,0
"680",1,0,0,0,0
"681",1,0,0,0,0
"682",0,1,0,0,0
"683",1,1,0,0,0
"684",1,1,0,0,0
"685",1,1,0,0,0
"686",1,0,0,0,NA
"687",1,0,0,0,0
"688",1,0,0,NA,NA
"689",1,1,1,0,0
"690",0,1,0,0,0
"691",0,1,0,0,0
"692",1,0,0,0,0
"693",1,1,1,0,0
"694",1,0,0,0,NA
"695",1,1,1,0,0
"696",1,0,0,0,0
"697",1,1,0,0,0
"698",1,0,1,0,0
"699",1,1,0,0,0
"700",1,1,0,0,0
"701",1,1,0,0,0
"702",1,1,0,1,0
"703",1,0,0,0,NA
"704",1,1,0,0,0
"705",1,1,0,0,NA
"706",1,1,0,0,NA
"707",1,0,1,0,0
"708",0,1,0,1,0
"709",1,1,0,0,0
"710",1,1,0,0,0
"711",1,1,0,0,0
"712",1,0,0,0,0
"713",1,1,1,0,0
"714",0,0,0,0,0
"715",0,1,0,0,0
"716",1,1,0,0,0
"717",0,0,0,NA,NA
"718",1,1,0,0,0
"719",1,0,0,0,0
"720",0,0,1,0,0
"721",0,0,0,0,0
"722",1,1,0,0,0
"723",1,0,0,0,0
"724",1,1,0,0,0
"725",1,0,0,0,0
"726",0,0,0,0,0
"727",1,0,0,0,NA
"728",1,1,0,0,0
"729",1,1,1,0,0
"730",0,1,0,0,0
"731",1,0,0,0,0
"732",1,0,0,0,0
"733",1,1,0,0,0
"734",1,0,0,0,0
"735",1,0,0,0,0
"736",1,1,0,0,NA
"737",1,0,0,0,0
"738",0,1,0,0,0
"739",1,1,0,0,0
"740",1,0,1,0,0
"741",1,1,0,0,0
"742",1,0,0,0,0
"743",1,1,0,0,0
"744",1,1,0,NA,NA
"745",1,1,0,0,0
"746",1,1,0,0,0
"747",0,1,0,0,0
"748",1,0,1,0,0
"749",1,0,0,0,0
"750",1,0,0,0,0
"751",1,1,0,0,0
"752",0,0,0,0,NA
"753",1,1,0,0,0
"754",1,0,0,0,0
"755",0,1,0,0,0
"756",0,1,0,0,NA
"757",1,0,0,0,0
"758",1,1,0,0,0
"759",1,1,0,0,0
"760",0,1,0,0,0
"761",1,1,0,0,0
"762",1,1,1,0,0
"763",1,1,0,0,0
"764",1,1,0,0,0
"765",1,1,0,0,0
"766",1,0,0,0,0
"767",0,0,0,0,1
"768",1,1,0,0,0
"769",1,1,1,0,0
"770",1,0,0,0,0
"771",0,1,0,0,0
"772",1,0,0,0,NA
"773",0,0,0,0,0
"774",1,0,1,0,NA
"775",1,1,0,0,0
"776",1,1,0,0,0
"777",1,0,0,0,0
"778",1,1,0,0,0
"779",0,1,1,0,0
