"","V1","V2","V3","V4","V5"
"1",0.01,0.11,0.11,0.14,0.33
"2",0,0.03,0.03,0.03,0.23
"3",0.01,0.06,0.2,0.2,0.25
"4",0,0.01,0.01,0.33,NA
"5",0,0,0.09,0.09,0.33
"6",0,0,0.01,0.01,0.11
"7",0.01,0.01,0.09,0.11,0.27
"8",0,0,0.22,NA,NA
"9",0.01,0.01,0.01,0.01,0.2
"10",0,0.01,0.09,0.1,0.1
"11",0.01,0.14,0.14,0.17,0.17
"12",0,0,0,0.14,0.25
"13",0.01,0.09,0.16,0.16,0.16
"14",0.01,0.01,0.01,0.01,0.17
"15",0.01,0.09,0.11,0.19,NA
"16",0.01,0.1,0.1,0.17,0.34
"17",0,0,0.19,0.66,NA
"18",0,0.01,0.01,0.09,0.17
"19",0.01,0.12,0.12,0.14,0.14
"20",0,0.09,0.11,0.11,0.34
"21",0.01,0.01,0.09,0.1,0.12
"22",0.02,0.02,0.02,0.02,0.02
"23",0.01,0.01,0.01,0.18,0.18
"24",0.01,0.01,0.14,0.24,NA
"25",0.01,0.09,0.17,0.2,0.42
"26",0.06,0.06,0.14,0.2,NA
"27",0,0.05,0.05,0.05,0.34
"28",0,0.01,0.14,0.14,0.14
"29",0,0.01,0.17,0.17,0.33
"30",0,0,0.01,0.17,0.17
"31",0.04,0.04,0.04,0.04,0.12
"32",0.01,0.01,0.09,0.14,0.14
"33",0,0,0,0.01,0.01
"34",0.01,0.11,0.11,0.11,0.14
"35",0,0,0.06,0.24,NA
"36",0.01,0.01,0.2,0.2,0.2
"37",0.01,0.09,0.13,0.55,NA
"38",0,0.02,0.02,0.02,0.02
"39",0.01,0.08,0.08,0.08,0.11
"40",0,0.01,0.01,0.01,0.27
"41",0,0,0.01,0.01,0.2
"42",0,0,0.12,0.14,0.27
"43",0,0,0.12,0.17,0.25
"44",0,0,0.09,0.11,0.17
"45",0.01,0.06,0.26,0.26,0.34
"46",0,0.01,0.01,0.11,0.34
"47",0,0.01,0.01,0.07,0.17
"48",0,0,0,0.09,0.17
"49",0,0,0.05,0.17,0.17
"50",0,0,0,0.27,NA
"51",0,0.01,0.01,0.02,0.02
"52",0,0,0,0.01,0.01
"53",0.01,0.01,0.09,0.09,0.33
"54",0,0.01,0.01,0.07,0.2
"55",0,0,0.07,0.5,NA
"56",0,0.01,0.1,0.1,0.25
"57",0.01,0.09,0.14,0.17,0.33
"58",0.01,0.01,0.01,0.17,0.17
"59",0,0,0,0,0.06
"60",0.01,0.16,0.16,0.16,0.25
"61",0,0.12,0.15,0.15,0.15
"62",0,0.01,0.01,0.01,0.27
