"","V1","V2","V3","V4","V5"
"1",3,2,3,1,4
"2",1,6,8,1,5
"3",2,7,2,4,3
"4",2,2,6,2,NA
"5",4,6,3,3,NA
"6",2,5,2,2,NA
"7",8,7,8,NA,NA
"8",4,7,4,1,NA
"9",2,0,6,0,6
"10",3,6,2,1,1
"11",3,5,2,6,5
"12",2,3,1,1,0
"13",4,2,4,3,2
"14",3,2,3,2,NA
"15",5,3,4,2,1
"16",3,2,3,4,3
"17",3,2,1,3,4
"18",4,3,3,1,2
"19",0,3,4,4,4
"20",4,2,4,7,NA
"21",5,3,3,3,1
"22",3,3,5,2,3
"23",2,3,4,7,1
"24",1,3,2,1,4
"25",1,1,2,4,3
"26",1,3,2,3,1
"27",1,1,4,5,2
"28",1,1,3,5,0
"29",4,5,4,2,2
"30",1,3,4,3,3
"31",2,3,3,3,5
"32",3,2,3,3,6
"33",3,4,5,3,3
"34",4,1,4,2,3
"35",1,2,5,1,2
"36",3,5,1,2,4
"37",2,2,3,4,4
"38",2,1,4,0,4
"39",3,3,1,5,2
"40",0,1,7,4,1
"41",4,8,2,NA,NA
"42",2,0,5,3,2
"43",3,2,3,7,3
"44",2,3,3,2,2
"45",1,8,2,2,2
"46",4,5,2,6,1
"47",2,5,3,5,4
"48",2,3,5,2,3
"49",0,4,2,3,1
"50",2,1,4,3,5
"51",3,4,0,1,2
"52",3,2,2,5,NA
"53",6,2,3,2,2
"54",2,2,4,1,3
"55",1,1,6,2,2
"56",3,5,1,3,3
"57",4,3,2,1,3
"58",1,2,5,6,4
"59",2,0,6,4,3
"60",3,4,4,3,NA
"61",3,2,3,2,3
"62",3,2,2,2,4
"63",4,3,4,3,1
"64",3,3,5,3,3
"65",3,3,3,4,3
"66",1,4,1,5,NA
"67",6,5,8,0,2
"68",0,2,0,4,4
"69",2,5,3,1,2
"70",3,2,5,3,3
"71",1,3,8,4,4
"72",0,2,0,2,3
"73",1,2,2,5,NA
"74",2,2,3,2,3
"75",1,4,1,2,3
"76",7,0,3,4,NA
"77",2,5,2,1,5
"78",4,2,3,4,6
"79",1,2,8,3,2
"80",4,3,0,0,3
"81",1,3,4,1,3
"82",3,2,4,3,8
"83",4,2,5,4,0
"84",3,0,2,4,3
"85",1,4,3,0,5
"86",1,1,2,1,1
"87",5,0,5,2,3
"88",3,2,1,3,3
"89",3,2,4,4,4
"90",2,5,3,2,2
"91",2,5,3,0,3
"92",1,2,4,3,6
"93",4,0,4,2,3
"94",2,1,1,5,3
"95",3,4,4,4,2
"96",2,1,3,1,4
"97",2,4,0,3,6
"98",3,1,2,2,3
"99",2,3,0,5,3
"100",3,4,4,2,5
"101",3,2,1,0,1
"102",0,3,2,3,2
"103",3,1,7,4,NA
"104",4,2,4,1,1
"105",3,5,3,3,6
"106",2,6,8,NA,NA
"107",2,4,2,2,3
