"","V1","V2","V3","V4","V5"
"1",1,1,0,0,NA
"2",1,1,0,0,0
"3",1,0,0,0,0
"4",1,0,0,0,0
"5",0,0,0,0,0
"6",0,1,0,1,0
"7",1,1,0,0,0
"8",0,0,0,0,1
"9",0,0,0,0,0
"10",1,0,0,0,0
"11",0,0,0,0,0
"12",1,0,0,0,0
"13",1,0,0,0,0
"14",0,1,1,0,0
"15",1,0,0,0,0
"16",1,0,0,0,0
"17",0,0,0,0,0
"18",0,0,0,0,0
"19",0,0,0,0,0
"20",0,0,0,0,0
"21",1,0,0,0,0
"22",0,0,0,0,0
"23",1,0,0,0,NA
"24",1,0,0,0,0
"25",0,0,0,0,0
"26",0,1,0,0,0
"27",1,0,0,0,0
"28",1,0,0,0,0
"29",1,1,0,0,NA
"30",1,0,0,0,0
"31",1,1,0,0,0
"32",0,1,0,0,NA
"33",1,0,1,NA,NA
"34",1,1,0,0,0
"35",1,1,0,0,0
"36",1,1,0,0,NA
"37",0,1,0,0,0
"38",0,0,0,0,NA
"39",0,1,0,0,0
"40",1,1,0,0,0
"41",0,1,0,0,0
"42",0,0,0,0,0
"43",0,0,0,0,0
"44",0,1,0,0,NA
"45",0,1,0,0,NA
"46",0,1,0,0,0
"47",1,0,1,0,0
"48",0,0,0,1,0
"49",0,0,0,0,0
"50",1,0,0,0,0
"51",0,1,0,0,0
"52",0,1,0,0,0
"53",0,0,0,0,0
"54",0,0,1,0,0
"55",0,0,0,0,0
"56",0,0,0,0,0
"57",0,1,0,0,0
"58",0,0,0,0,NA
"59",1,1,1,0,0
"60",1,0,0,0,0
"61",1,0,0,0,0
"62",1,0,0,0,0
"63",0,1,0,0,0
"64",0,0,0,0,0
"65",1,1,0,0,0
"66",1,0,0,0,0
"67",1,0,0,0,0
"68",0,1,0,0,1
"69",0,0,0,0,0
"70",1,0,0,0,0
"71",0,0,0,0,0
"72",1,0,0,0,0
"73",0,1,0,0,0
"74",1,0,1,0,0
"75",0,0,0,0,0
"76",1,0,0,0,0
"77",0,0,0,0,0
"78",0,0,0,0,0
"79",0,0,0,0,0
"80",0,0,0,0,0
"81",0,0,0,0,0
"82",1,0,0,0,0
"83",0,1,0,0,NA
"84",0,0,0,0,0
"85",0,0,0,0,0
"86",0,1,0,1,NA
"87",0,0,0,0,0
"88",0,0,0,0,0
"89",1,0,0,0,0
"90",0,1,0,0,0
"91",0,1,0,0,0
"92",1,1,0,0,NA
"93",0,1,0,0,NA
"94",1,0,0,0,0
"95",1,0,0,0,0
"96",0,1,0,0,NA
"97",0,0,0,0,0
"98",0,0,0,0,0
"99",1,0,0,0,0
"100",0,1,0,0,0
"101",1,0,0,0,0
"102",0,0,0,0,0
"103",0,0,0,0,0
"104",0,0,0,0,0
"105",0,0,0,0,0
"106",0,0,0,0,0
"107",1,1,0,0,0
"108",1,1,0,0,0
"109",0,0,0,0,NA
"110",1,0,0,0,1
"111",0,0,0,0,0
"112",1,0,0,0,0
"113",1,0,0,0,0
"114",0,0,0,0,NA
"115",0,1,0,0,0
"116",1,0,0,0,0
"117",0,1,0,0,NA
"118",0,0,0,1,0
"119",1,1,0,0,0
"120",0,1,0,0,0
"121",1,0,0,1,NA
"122",1,1,0,0,0
"123",0,0,0,1,0
"124",0,1,0,0,0
"125",0,1,0,0,0
"126",1,0,0,0,0
"127",1,1,0,0,0
"128",1,0,0,1,0
"129",0,0,0,0,0
"130",1,0,0,0,0
"131",0,1,0,0,0
"132",0,0,0,0,NA
"133",1,0,0,0,0
"134",0,0,0,0,0
"135",0,0,0,0,0
"136",0,0,0,0,0
"137",0,0,1,0,0
"138",0,0,0,0,0
"139",1,0,0,0,NA
"140",1,0,0,0,0
"141",0,0,0,0,0
"142",0,0,0,0,NA
"143",0,0,0,0,0
"144",0,1,0,0,NA
"145",1,0,0,0,0
"146",0,1,0,0,NA
"147",1,0,0,1,0
"148",0,0,0,0,0
"149",0,0,0,0,0
"150",1,1,0,0,0
"151",1,0,0,0,NA
"152",0,0,0,0,0
"153",1,1,0,0,NA
"154",0,1,0,0,NA
"155",0,1,0,0,0
"156",1,1,0,0,NA
"157",1,0,0,0,0
"158",0,1,0,0,0
"159",1,0,0,0,0
"160",0,0,0,0,0
"161",0,0,0,0,0
"162",0,0,0,0,0
"163",0,0,0,0,0
"164",0,1,0,0,0
"165",0,0,0,0,0
"166",1,0,0,0,0
"167",0,1,0,0,0
"168",1,1,0,0,0
"169",0,0,0,0,0
"170",0,0,0,0,0
"171",0,0,0,0,0
"172",0,0,0,0,0
"173",0,0,0,0,0
"174",1,NA,NA,NA,NA
"175",1,0,0,0,0
"176",1,0,0,0,0
"177",1,0,0,0,0
"178",0,0,0,0,0
"179",0,0,0,0,0
"180",1,1,0,0,0
"181",1,0,0,0,0
"182",0,1,0,0,0
"183",0,0,0,0,0
"184",1,1,0,0,0
"185",1,0,0,0,0
"186",0,1,0,0,0
"187",0,1,0,1,0
"188",0,0,0,0,0
"189",0,1,0,0,NA
"190",0,0,0,0,0
"191",1,0,0,0,0
"192",0,0,0,0,0
"193",0,1,0,0,0
"194",1,1,0,0,0
"195",0,0,0,0,0
"196",1,1,0,0,0
"197",0,0,0,0,0
"198",0,0,0,0,0
"199",1,0,1,NA,NA
"200",0,0,0,0,0
"201",0,1,0,0,0
"202",1,0,0,0,NA
"203",1,0,1,0,0
"204",1,1,0,0,0
"205",1,0,0,0,0
"206",0,0,0,0,0
"207",0,1,0,0,0
"208",0,0,0,0,0
"209",0,0,0,0,0
"210",1,0,0,0,NA
"211",0,0,0,0,NA
"212",1,0,0,0,0
"213",1,1,0,0,0
"214",1,0,0,0,NA
"215",0,0,0,0,0
"216",0,1,0,0,0
"217",1,0,0,0,0
"218",1,0,0,0,NA
"219",1,0,0,0,NA
"220",0,0,0,0,0
"221",0,0,0,0,0
"222",0,1,0,0,0
"223",1,0,0,0,0
"224",1,0,0,0,0
"225",0,0,0,0,NA
"226",1,1,0,0,0
"227",1,0,0,0,0
"228",0,1,0,0,0
"229",1,0,0,0,0
"230",1,0,0,0,0
"231",0,1,0,0,0
"232",0,0,0,NA,NA
"233",0,0,0,0,0
"234",1,0,0,0,0
"235",1,1,0,0,0
"236",1,1,0,0,0
"237",0,1,0,0,0
"238",1,1,0,0,0
"239",0,1,0,0,0
"240",1,1,0,0,0
"241",0,0,0,0,0
"242",1,0,0,0,0
"243",0,1,0,0,0
"244",1,0,0,0,0
"245",1,0,0,0,0
"246",0,0,0,0,0
"247",0,0,0,0,0
"248",1,0,0,0,0
"249",0,0,0,0,0
"250",0,0,1,0,0
"251",0,0,0,0,0
"252",1,1,0,0,0
"253",0,0,0,0,0
"254",1,0,0,0,0
"255",0,1,0,0,0
"256",0,0,0,0,0
"257",0,0,0,0,0
"258",1,0,0,0,0
"259",0,0,0,0,0
"260",1,0,0,0,0
"261",0,0,0,0,0
"262",0,0,0,0,0
"263",0,0,0,0,0
"264",0,0,0,0,0
"265",1,1,0,0,0
"266",0,0,0,0,0
"267",1,1,0,0,0
"268",0,0,0,0,0
"269",1,0,0,0,0
"270",1,0,0,1,0
"271",1,0,0,0,0
"272",1,NA,NA,NA,NA
"273",0,0,0,0,0
"274",0,0,0,0,0
"275",0,0,0,0,0
"276",0,0,0,0,0
"277",0,0,0,0,0
"278",0,0,0,0,0
"279",1,0,1,0,0
"280",0,0,0,0,0
"281",0,0,0,0,0
"282",0,1,0,0,NA
"283",0,0,0,0,0
"284",1,0,0,1,0
"285",0,0,0,0,0
"286",0,0,0,0,0
"287",1,0,0,0,NA
"288",0,1,0,0,NA
"289",0,0,0,0,0
"290",0,1,1,0,0
"291",0,0,0,0,0
"292",0,0,0,0,0
"293",1,1,0,0,0
"294",1,0,0,0,0
"295",1,0,0,0,0
"296",0,0,0,0,0
"297",0,0,0,1,0
"298",0,0,0,0,0
"299",0,0,0,0,0
"300",0,0,0,0,0
"301",0,0,0,0,0
"302",0,0,0,0,0
"303",1,1,0,0,0
"304",1,0,0,0,0
"305",0,1,0,0,0
"306",1,0,0,0,0
"307",0,1,0,0,0
"308",0,0,0,0,0
"309",0,1,0,0,0
"310",1,0,0,0,0
"311",1,0,0,0,0
"312",0,0,0,0,0
"313",0,0,0,0,0
"314",1,0,0,0,0
"315",0,0,0,0,0
"316",1,1,0,0,NA
"317",1,0,1,0,0
"318",1,1,1,0,0
"319",0,0,0,0,0
"320",1,0,0,0,0
"321",0,0,0,0,0
"322",0,0,0,0,NA
"323",1,0,0,0,0
"324",0,0,0,0,0
"325",1,1,1,0,0
"326",1,0,0,0,NA
"327",1,0,0,0,0
"328",0,0,0,0,0
"329",0,0,0,0,0
"330",0,0,0,0,0
"331",0,1,0,0,0
"332",1,0,0,0,0
"333",1,NA,NA,NA,NA
"334",1,0,0,1,0
"335",0,0,0,0,0
"336",0,0,0,0,0
"337",0,0,0,1,0
"338",1,1,0,0,0
"339",0,0,0,0,0
"340",0,0,0,0,0
"341",0,0,0,0,1
"342",0,0,0,0,0
"343",0,0,0,0,0
"344",0,0,0,0,0
"345",1,0,0,0,0
"346",0,1,0,0,0
"347",0,0,0,0,0
"348",1,1,0,NA,NA
"349",0,0,0,0,0
"350",0,1,0,0,0
"351",1,0,0,NA,NA
"352",0,0,0,0,0
"353",0,0,0,0,0
"354",1,0,0,1,0
"355",0,0,0,0,0
"356",1,0,0,0,0
"357",0,0,0,0,0
"358",0,1,1,0,0
"359",1,0,1,0,0
"360",0,0,0,1,NA
"361",1,1,0,0,NA
"362",0,0,0,0,NA
"363",1,1,0,0,0
"364",1,1,0,0,0
"365",0,0,0,0,NA
"366",0,1,0,0,1
"367",0,1,0,1,0
"368",1,0,0,0,0
"369",0,0,0,0,NA
"370",0,1,0,0,0
"371",1,1,0,0,0
"372",0,0,0,0,0
"373",0,0,1,0,0
"374",0,0,0,0,0
"375",0,0,0,0,NA
"376",1,0,0,0,0
"377",0,0,0,0,0
"378",1,0,0,0,0
"379",0,1,0,0,0
"380",0,1,1,0,1
"381",0,0,0,0,0
"382",1,0,1,0,NA
"383",1,1,0,0,0
"384",1,0,1,0,0
"385",0,1,0,0,NA
"386",0,1,0,0,0
"387",1,0,0,0,0
"388",0,0,1,0,0
"389",0,0,0,0,0
"390",1,0,0,0,0
"391",0,0,0,0,0
"392",0,0,0,0,0
"393",0,1,0,0,0
"394",0,0,1,0,0
"395",0,0,1,1,0
"396",1,1,0,0,0
"397",0,0,0,0,0
"398",0,1,0,0,0
"399",1,1,0,0,0
"400",0,0,1,0,0
"401",1,0,0,0,0
"402",0,0,0,1,0
"403",1,0,0,0,0
"404",0,0,0,0,0
"405",1,1,0,0,0
"406",0,1,0,0,0
"407",1,0,0,0,0
"408",0,0,0,0,0
"409",1,1,0,0,0
"410",0,0,0,0,0
"411",1,0,0,0,NA
"412",1,1,0,0,0
"413",1,0,0,0,0
"414",0,0,0,0,0
"415",1,1,0,1,0
"416",0,0,1,0,0
"417",0,0,0,0,0
"418",1,0,0,0,0
"419",1,0,0,0,0
"420",1,0,0,0,0
"421",0,0,0,0,0
"422",1,0,0,0,0
"423",1,0,0,0,0
"424",1,1,0,0,0
"425",1,1,0,0,NA
"426",0,1,0,0,0
"427",0,1,0,0,0
"428",0,1,0,0,0
"429",0,1,0,1,0
"430",0,0,0,0,0
"431",1,0,0,0,0
"432",1,1,0,0,0
"433",0,1,0,0,0
"434",0,0,0,0,0
"435",0,0,1,0,0
"436",1,1,0,0,0
"437",1,1,0,0,0
"438",0,1,1,1,0
"439",0,0,0,0,0
"440",0,1,0,0,0
"441",0,1,0,0,NA
"442",0,0,0,0,0
"443",1,1,0,0,0
"444",0,1,0,0,0
"445",0,0,0,0,0
"446",1,1,0,0,0
"447",1,1,0,0,0
"448",0,0,0,0,0
"449",0,0,0,0,0
"450",1,1,0,0,0
"451",1,0,0,0,0
"452",1,0,0,0,0
"453",0,0,0,0,NA
"454",0,0,0,0,0
"455",1,0,0,0,0
"456",0,1,0,1,NA
"457",1,1,0,0,0
"458",1,0,0,0,0
"459",0,1,0,0,0
"460",1,0,0,0,0
