"","V1","V2","V3","V4","V5"
"1",0.01,0.01,0.02,0.02,0.28
"2",0,0.01,0.01,0.12,0.33
"3",0,0,0.12,0.14,0.25
"4",0.01,0.01,0.01,0.01,0.23
"5",0,0.01,0.02,0.02,0.02
"6",0.01,0.01,0.2,0.2,0.25
"7",0.02,0.02,0.07,0.14,0.2
"8",0,0.04,0.04,0.04,0.17
"9",0.01,0.05,0.05,0.05,0.05
"10",0,0.02,0.02,0.02,0.02
"11",0.01,0.01,0.01,0.17,0.17
"12",0,0,0,0.07,0.12
"13",0.01,0.01,0.09,0.12,0.12
"14",0,0,0.22,NA,NA
"15",0,0.01,0.09,0.09,0.09
"16",0,0.01,0.09,0.19,0.34
"17",0.01,0.07,0.1,0.1,0.2
"18",0.01,0.08,0.08,0.16,0.16
"19",0.01,0.01,0.01,0.07,0.17
"20",0.01,0.01,0.01,0.14,0.14
"21",0.02,0.02,0.09,0.12,0.17
"22",0.01,0.01,0.14,0.17,0.28
"23",0,0.17,0.19,0.19,0.23
"24",0.01,0.01,0.15,0.15,0.23
"25",0,0.01,0.16,0.16,0.16
"26",0.01,0.01,0.08,0.08,0.11
"27",0.01,0.08,0.11,0.34,NA
"28",0.01,0.1,0.1,0.21,0.21
"29",0.01,0.01,0.01,0.07,0.5
"30",0,0,0,0.1,0.66
"31",0,0.07,0.12,0.23,0.58
"32",0,0.01,0.11,0.11,0.14
"33",0,0.03,0.03,0.03,0.23
"34",0.1,0.1,0.12,0.2,0.2
"35",0,0.08,0.08,0.17,0.23
"36",0.01,0.14,0.14,0.17,0.17
"37",0,0,0.01,0.07,0.17
"38",0,0,0,0.13,0.13
"39",0.01,0.01,0.13,0.13,0.13
"40",0,0.01,0.07,0.17,0.27
"41",0,0.01,0.08,0.08,0.14
"42",0.01,0.01,0.01,0.17,0.23
"43",0,0.01,0.09,0.24,0.24
"44",0,0.01,0.07,0.14,0.55
"45",0.01,0.01,0.01,0.06,0.28
"46",0.01,0.09,0.23,NA,NA
"47",0,0.01,0.13,0.13,0.34
"48",0,0.09,0.09,0.12,0.12
"49",0,0,0,0.12,0.17
"50",0.01,0.01,0.11,0.11,0.14
"51",0.02,0.02,0.14,0.25,0.33
"52",0.02,0.02,0.02,0.02,0.02
"53",0,0.09,0.09,0.09,0.17
"54",0.01,0.09,0.16,0.16,0.29
"55",0,0.09,0.09,0.2,0.2
"56",0,0.01,0.17,0.28,NA
"57",0,0.01,0.11,0.12,0.33
"58",0.01,0.08,0.08,0.19,0.19
"59",0.01,0.01,0.07,0.07,0.25
"60",0,0.01,0.01,0.17,0.17
"61",0.01,0.01,0.01,0.25,0.33
"62",0,0.02,0.02,0.02,0.39
"63",0,0,0.12,0.24,0.24
"64",0,0,0.01,0.01,0.34
"65",0,0.01,0.06,0.07,0.23
"66",0,0.01,0.15,0.15,0.55
"67",0.01,0.09,0.09,0.09,0.11
"68",0,0.07,0.12,0.13,0.13
"69",0.01,0.01,0.01,0.09,0.23
"70",0,0,0.07,0.07,0.07
"71",0,0,0.07,0.09,0.17
"72",0,0,0.19,NA,NA
"73",0.01,0.07,0.12,0.12,0.25
"74",0.01,0.01,0.01,0.01,0.07
"75",0,0,0,0.19,0.5
"76",0.01,0.01,0.12,0.12,0.12
"77",0.01,0.01,0.01,0.12,0.2
"78",0.01,0.09,0.14,0.2,0.25
"79",0,0.02,0.02,0.11,0.17
"80",0.01,0.01,0.18,0.18,0.18
"81",0,0,0.12,0.14,0.33
"82",0,0.01,0.1,0.1,0.1
"83",0.01,0.17,0.17,0.25,0.27
