"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,0,0,1,2,3,2,1,2
"2",0,0,0,4,2,2,0,1,3
"3",0,0,0,3,2,2,1,4,0
"4",0,0,0,1,2,1,4,2,0
"5",0,0,0,4,2,1,2,5,1
"6",0,0,0,0,2,2,4,2,2
"7",0,0,0,2,3,1,2,1,8
"8",0,0,0,5,3,0,3,3,5
"9",0,0,0,1,3,2,2,1,2
"10",0,0,0,3,1,4,3,2,2
"11",0,0,0,2,1,1,1,3,1
"12",0,0,0,2,6,0,3,1,4
"13",0,0,0,2,1,3,1,3,5
"14",0,0,0,4,2,3,4,1,2
"15",0,0,0,3,3,3,0,2,2
"16",0,0,0,2,2,2,3,3,0
"17",0,0,0,4,3,1,2,3,1
"18",0,0,0,3,1,0,1,1,2
"19",0,0,0,2,3,0,2,1,2
"20",0,0,0,0,1,2,2,3,2
"21",0,0,0,4,1,3,0,1,2
"22",0,0,0,6,4,0,1,3,3
"23",0,0,0,0,2,3,3,2,3
"24",0,0,0,2,1,1,2,1,2
"25",0,0,0,4,2,0,2,2,0
"26",0,0,0,5,6,1,2,1,1
"27",0,0,0,2,6,0,4,2,2
"28",0,0,0,1,4,2,3,1,4
"29",0,0,0,5,1,1,5,3,2
"30",0,0,0,2,3,1,2,1,2
"31",0,0,0,3,1,0,3,1,3
"32",0,0,0,2,2,3,2,3,4
"33",0,0,0,2,2,1,5,0,2
"34",0,0,0,4,4,2,4,1,2
"35",0,0,0,0,3,3,2,3,2
"36",0,0,0,2,3,3,2,2,2
"37",0,0,0,1,3,4,5,1,1
"38",0,0,0,2,1,3,1,3,4
"39",0,0,0,4,0,3,1,1,2
"40",0,0,0,2,1,3,1,1,3
"41",0,0,0,1,4,1,1,4,2
"42",0,0,0,0,3,1,1,2,1
"43",0,0,0,1,2,1,2,3,1
"44",0,0,0,4,4,1,1,0,2
"45",0,0,0,2,2,2,2,0,3
"46",0,0,0,3,3,1,3,0,2
"47",0,0,0,2,2,2,3,0,6
"48",0,0,0,3,1,1,0,2,0
"49",0,0,0,3,0,1,2,2,1
"50",0,0,0,2,3,3,3,1,1
"51",0,0,0,5,2,3,2,1,4
"52",0,0,0,1,1,2,2,3,1
"53",0,0,0,3,0,1,1,3,2
"54",0,0,0,2,0,3,4,1,1
"55",0,0,0,3,0,3,3,2,0
"56",0,0,0,2,1,2,3,1,2
"57",0,0,0,3,0,5,2,3,1
"58",0,0,0,1,4,3,1,2,1
"59",0,0,0,4,1,2,4,0,0
"60",0,0,0,4,2,0,2,5,1
"61",0,0,0,3,0,2,3,2,0
"62",0,0,0,1,1,3,1,2,2
"63",0,0,0,2,3,3,4,4,2
"64",0,0,0,2,1,4,2,3,1
"65",0,0,0,5,1,4,2,3,4
"66",0,0,0,2,4,1,2,5,0
"67",0,0,0,3,1,1,1,2,0
"68",0,0,0,2,4,0,2,1,1
"69",0,0,0,6,2,2,0,5,0
"70",0,0,0,2,2,3,1,1,1
"71",0,0,0,1,1,1,2,4,1
"72",0,0,0,2,4,2,1,2,1
"73",0,0,0,3,5,2,0,2,0
"74",0,0,0,0,0,3,3,4,0
"75",0,0,0,1,5,2,0,6,3
"76",0,0,0,4,1,4,1,1,1
"77",0,0,0,3,1,4,1,2,4
"78",0,0,0,0,0,1,2,4,2
"79",0,0,0,0,5,2,1,3,1
"80",0,0,0,2,4,3,1,1,1
"81",0,0,0,0,1,3,3,2,3
"82",0,0,0,4,4,1,3,2,1
"83",0,0,0,2,3,0,1,1,1
"84",0,0,0,1,1,3,2,1,4
"85",0,0,0,2,1,1,3,0,1
"86",0,0,0,0,7,1,3,1,1
"87",0,0,0,1,5,0,4,4,0
"88",0,0,0,4,4,0,0,3,5
"89",0,0,0,2,1,2,1,2,2
"90",0,0,0,1,0,1,1,2,2
"91",0,0,0,8,2,0,4,1,1
"92",0,0,0,3,3,3,1,4,4
"93",0,0,0,3,1,3,0,2,2
"94",0,0,0,2,3,4,0,2,2
"95",0,0,0,3,1,4,2,2,3
"96",0,0,0,2,3,2,1,2,2
"97",0,0,0,3,1,1,2,1,1
"98",0,0,0,2,4,2,2,3,0
"99",0,0,0,2,0,4,2,2,0
"100",0,0,0,0,1,2,1,0,2
"101",0,0,0,1,1,1,5,2,1
"102",0,0,0,3,4,5,2,0,1
"103",0,0,0,2,0,2,0,4,1
"104",0,0,0,3,3,0,1,4,2
"105",0,0,0,0,1,2,2,3,1
"106",0,0,0,2,4,1,2,1,2
"107",0,0,0,2,1,2,1,0,0
"108",0,0,0,3,5,3,2,5,1
"109",0,0,0,0,1,2,0,2,3
"110",0,0,0,1,2,2,0,4,3
"111",0,0,0,1,2,4,3,2,2
"112",0,0,0,4,4,2,1,1,1
"113",0,0,0,0,1,4,6,2,1
"114",0,0,0,4,1,1,2,1,1
"115",0,0,0,0,1,2,4,5,1
"116",0,0,0,1,2,1,3,1,1
"117",0,0,0,3,2,2,0,2,1
"118",0,0,0,3,1,1,2,4,2
"119",0,0,0,2,3,1,0,0,2
"120",0,0,0,1,0,1,4,1,3
"121",0,0,0,2,0,2,7,2,3
"122",0,0,0,3,3,1,1,2,3
"123",0,0,0,3,3,1,3,0,2
"124",0,0,0,2,2,5,0,2,4
"125",0,0,0,3,1,1,4,3,0
"126",0,0,0,2,0,2,5,1,2
"127",0,0,0,0,2,3,5,0,4
"128",0,0,0,0,1,1,2,2,4
"129",0,0,0,2,0,2,2,2,4
"130",0,0,0,1,2,0,1,3,2
"131",0,0,0,1,4,5,0,2,0
"132",0,0,0,1,1,4,1,3,0
"133",0,0,0,4,2,2,1,1,2
"134",0,0,0,1,1,1,2,2,2
"135",0,0,0,1,4,0,1,2,2
"136",0,0,0,1,1,2,3,0,2
"137",0,0,0,0,3,0,4,0,3
"138",0,0,0,2,2,1,2,2,3
"139",0,0,0,1,1,4,3,4,2
"140",0,0,0,2,3,6,1,2,2
"141",0,0,0,1,3,3,2,0,1
"142",0,0,0,1,1,7,0,0,2
"143",0,0,0,2,2,2,1,2,5
"144",0,0,0,0,1,0,3,1,1
"145",0,0,0,4,1,2,0,1,1
"146",0,0,0,3,2,5,2,4,2
"147",0,0,0,1,5,2,2,2,5
"148",0,0,0,3,2,5,3,2,1
"149",0,0,0,0,2,1,4,1,0
"150",0,0,0,3,2,2,1,4,2
"151",0,0,0,2,0,1,0,4,2
"152",0,0,0,1,2,4,2,0,1
"153",0,0,0,3,3,2,2,1,4
"154",0,0,0,1,0,1,2,2,4
"155",0,0,0,2,3,2,1,0,1
"156",0,0,0,4,3,0,2,1,2
"157",0,0,0,0,1,3,1,1,1
"158",0,0,0,5,2,1,2,0,1
"159",0,0,0,1,1,2,6,1,2
"160",0,0,0,1,0,2,4,1,3
"161",0,0,0,3,0,4,2,2,2
"162",0,0,0,2,1,1,1,3,2
"163",0,0,0,3,5,0,2,2,1
"164",0,0,0,3,1,2,2,1,3
"165",0,0,0,1,0,2,0,5,1
"166",0,0,0,3,2,3,1,2,2
"167",0,0,0,0,2,1,2,1,2
"168",0,0,0,5,2,3,1,2,2
"169",0,0,0,0,3,5,2,3,1
"170",0,0,0,2,3,3,3,3,2
"171",0,0,0,2,1,6,1,1,1
"172",0,0,0,0,3,2,3,2,1
"173",0,0,0,1,3,3,2,2,0
"174",0,0,0,2,2,2,1,3,3
"175",0,0,0,2,2,0,0,3,2
"176",0,0,0,4,2,4,0,4,5
"177",0,0,0,0,2,2,2,2,1
"178",0,0,0,0,2,5,0,2,3
"179",0,0,0,1,1,2,1,2,5
"180",0,0,0,3,3,1,3,0,2
"181",0,0,0,1,1,1,2,1,1
"182",0,0,0,3,1,2,2,3,4
"183",0,0,0,4,3,1,2,0,2
"184",0,0,0,1,5,2,3,4,4
"185",0,0,0,2,7,0,2,2,2
"186",0,0,0,0,2,0,2,2,3
"187",0,0,0,3,1,0,1,1,1
"188",0,0,0,3,0,3,0,2,2
"189",0,0,0,1,1,0,1,4,2
"190",0,0,0,1,3,3,4,4,2
"191",0,0,0,2,3,3,2,1,2
"192",0,0,0,4,0,3,0,3,1
"193",0,0,0,7,1,0,3,1,3
"194",0,0,0,2,1,5,2,2,3
"195",0,0,0,0,2,2,2,1,2
"196",0,0,0,3,1,1,2,2,0
"197",0,0,0,5,3,2,0,2,1
"198",0,0,0,3,1,4,2,0,2
"199",0,0,0,1,3,2,1,2,3
"200",0,0,0,3,1,3,0,2,0
"201",0,0,0,4,3,5,2,2,3
"202",0,0,0,3,2,5,5,2,2
"203",0,0,0,2,2,6,2,0,4
"204",0,0,0,3,1,3,7,2,2
"205",0,0,0,3,3,1,1,2,1
"206",0,0,0,4,0,4,1,2,0
"207",0,0,0,3,2,2,3,1,2
"208",0,0,0,3,1,3,3,2,1
"209",0,0,0,1,1,2,3,0,2
"210",0,0,0,4,2,3,7,3,3
"211",0,0,0,4,3,3,2,1,0
"212",0,0,0,1,1,3,2,3,0
"213",0,0,0,1,1,0,1,4,1
"214",0,0,0,1,3,3,1,2,1
"215",0,0,0,3,3,5,2,2,1
"216",0,0,0,2,2,1,3,1,4
"217",0,0,0,4,0,2,2,4,3
"218",0,0,0,2,1,0,1,1,5
"219",0,0,0,4,2,3,3,0,2
"220",0,0,0,4,3,1,1,2,2
"221",0,0,0,4,1,6,2,1,3
"222",0,0,0,9,2,1,3,1,3
"223",0,0,0,2,3,1,3,0,2
"224",0,0,0,0,1,2,1,4,3
"225",0,0,0,1,2,2,6,1,5
"226",0,0,0,1,4,2,2,1,3
"227",0,0,0,3,1,4,1,2,4
"228",0,0,0,2,3,1,2,3,1
"229",0,0,0,2,0,2,1,3,2
"230",0,0,0,2,3,4,2,2,2
"231",0,0,0,3,3,0,1,5,0
"232",0,0,0,6,1,2,2,1,1
"233",0,0,0,1,0,2,2,4,1
"234",0,0,0,0,5,1,0,2,1
"235",0,0,0,1,4,3,2,1,2
"236",0,0,0,0,0,2,0,3,2
"237",0,0,0,2,0,3,1,3,1
"238",0,0,0,2,1,5,2,1,2
"239",0,0,0,3,3,2,2,0,5
"240",0,0,0,1,2,2,1,2,2
"241",0,0,0,3,3,0,3,4,2
"242",0,0,0,0,2,0,1,2,5
"243",0,0,0,1,3,0,5,0,1
"244",0,0,0,0,1,3,0,2,2
"245",0,0,0,3,3,7,4,1,2
"246",0,0,0,3,1,2,1,3,2
"247",0,0,0,3,1,5,2,1,1
"248",0,0,0,1,2,5,1,1,3
"249",0,0,0,0,4,3,6,2,1
"250",0,0,0,2,3,4,1,4,1
"251",0,0,0,3,4,2,0,1,2
"252",0,0,0,7,1,2,2,4,3
"253",0,0,0,4,2,1,1,6,2
"254",0,0,0,0,2,6,1,2,3
"255",0,0,0,1,4,5,2,3,1
"256",0,0,0,2,1,1,4,3,2
"257",0,0,0,4,1,1,1,2,2
"258",0,0,0,2,2,0,5,4,0
"259",0,0,0,6,2,2,2,2,4
"260",0,0,0,4,1,2,3,2,4
"261",0,0,0,0,2,2,4,4,3
"262",0,0,0,0,1,2,2,2,5
"263",0,0,0,1,1,1,2,1,1
"264",0,0,0,3,1,3,1,3,1
"265",0,0,0,1,4,2,2,5,2
"266",0,0,0,1,3,2,3,1,3
"267",0,0,0,1,2,3,3,4,1
"268",0,0,0,2,3,0,2,4,1
"269",0,0,0,2,0,3,1,4,2
"270",0,0,0,0,5,1,3,3,3
"271",0,0,0,2,1,5,0,1,5
"272",0,0,0,8,4,0,1,1,0
"273",0,0,0,3,2,0,0,1,2
"274",0,0,0,6,2,4,0,0,1
"275",0,0,0,1,4,2,2,2,3
"276",0,0,0,0,2,0,4,3,4
"277",0,0,0,2,1,4,1,2,2
"278",0,0,0,2,2,2,4,1,4
"279",0,0,0,1,2,1,3,4,1
"280",0,0,0,0,1,1,2,3,0
"281",0,0,0,5,1,3,1,1,3
"282",0,0,0,1,4,2,1,4,4
"283",0,0,0,6,3,5,3,4,0
"284",0,0,0,2,3,6,0,1,2
"285",0,0,0,0,4,1,2,2,0
"286",0,0,0,4,1,1,0,3,4
"287",0,0,0,1,4,2,1,3,0
"288",0,0,0,3,1,1,1,1,3
"289",0,0,0,0,3,3,2,2,4
"290",0,0,0,2,2,1,2,0,3
"291",0,0,0,3,3,1,1,2,2
"292",0,0,0,2,0,2,0,3,4
"293",0,0,0,2,2,4,0,0,1
"294",0,0,0,3,1,4,0,1,3
"295",0,0,0,2,1,1,3,2,2
"296",0,0,0,0,0,2,1,1,3
"297",0,0,0,8,3,3,0,3,0
"298",0,0,0,3,2,1,5,2,3
"299",0,0,0,1,1,2,5,1,3
"300",0,0,0,5,1,3,2,2,0
"301",0,0,0,2,1,2,2,2,2
"302",0,0,0,2,0,1,3,1,3
"303",0,0,0,2,1,1,2,2,4
"304",0,0,0,1,2,2,1,0,3
"305",0,0,0,1,1,0,1,4,3
"306",0,0,0,1,1,1,2,3,4
"307",0,0,0,2,3,7,2,0,0
"308",0,0,0,1,1,0,1,0,2
"309",0,0,0,2,1,4,2,3,1
"310",0,0,0,3,3,2,3,0,2
"311",0,0,0,1,7,1,0,2,1
"312",0,0,0,0,4,2,1,2,0
"313",0,0,0,2,5,4,2,0,3
"314",0,0,0,4,1,1,3,3,2
"315",0,0,0,1,2,1,3,2,1
"316",0,0,0,4,1,2,5,4,2
"317",0,0,0,2,3,2,3,2,2
"318",0,0,0,3,0,1,4,2,3
"319",0,0,0,1,3,2,5,0,1
"320",0,0,0,1,5,2,3,0,3
"321",0,0,0,2,0,5,1,1,1
"322",0,0,0,2,2,1,5,2,2
"323",0,0,0,5,2,1,1,5,1
"324",0,0,0,3,3,0,3,2,3
"325",0,0,0,0,3,4,1,1,1
"326",0,0,0,0,1,1,2,0,1
"327",0,0,0,1,0,1,2,0,2
"328",0,0,0,2,0,1,4,2,4
"329",0,0,0,1,2,0,3,3,2
"330",0,0,0,2,4,3,3,1,3
"331",0,0,0,2,4,1,3,2,0
"332",0,0,0,3,2,1,1,3,3
"333",0,0,0,4,2,1,2,0,2
"334",0,0,0,3,3,1,1,5,3
"335",0,0,0,1,2,2,0,1,3
"336",0,0,0,2,3,1,2,1,4
"337",0,0,0,1,3,3,3,2,3
"338",0,0,0,2,3,3,1,2,1
"339",0,0,0,4,3,2,2,2,2
"340",0,0,0,3,3,4,0,2,3
"341",0,0,0,0,2,6,1,4,4
"342",0,0,0,2,2,1,2,1,2
"343",0,0,0,4,2,3,0,0,1
"344",0,0,0,1,2,4,1,3,4
"345",0,0,0,2,2,1,0,1,1
"346",0,0,0,1,0,3,1,1,1
"347",0,0,0,1,3,1,2,5,4
"348",0,0,0,4,3,5,2,2,1
"349",0,0,0,4,2,3,1,3,2
"350",0,0,0,2,3,1,2,1,3
"351",0,0,0,0,1,2,1,0,1
"352",0,0,0,2,4,2,0,3,0
"353",0,0,0,3,4,2,1,3,2
"354",0,0,0,1,6,2,3,1,1
"355",0,0,0,1,1,5,1,3,3
"356",0,0,0,2,1,6,4,3,2
"357",0,0,0,2,2,1,4,1,3
"358",0,0,0,3,3,3,3,2,1
"359",0,0,0,3,1,6,3,1,4
"360",0,0,0,3,0,7,2,0,1
"361",0,0,0,5,3,3,2,0,2
"362",0,0,0,1,1,2,0,0,2
"363",0,0,0,3,1,2,0,0,0
"364",0,0,0,0,4,3,0,0,5
"365",0,0,0,2,1,4,0,0,1
"366",0,0,0,1,3,2,2,2,2
"367",0,0,0,1,2,1,0,3,4
"368",0,0,0,3,3,1,2,1,1
"369",0,0,0,3,1,3,4,3,1
"370",0,0,0,0,1,6,3,2,3
"371",0,0,0,3,0,1,2,2,1
"372",0,0,0,3,2,1,4,0,1
"373",0,0,0,0,3,3,2,0,3
"374",0,0,0,2,1,2,0,2,2
"375",0,0,0,2,2,2,2,0,1
"376",0,0,0,3,0,3,0,0,4
"377",0,0,0,0,1,3,3,3,3
"378",0,0,0,2,2,2,5,2,3
"379",0,0,0,3,1,1,0,0,2
"380",0,0,0,1,0,2,0,2,3
"381",0,0,0,2,2,0,4,2,3
"382",0,0,0,3,0,3,1,4,0
"383",0,0,0,3,5,0,0,0,1
"384",0,0,0,3,3,1,0,1,7
"385",0,0,0,2,0,2,1,0,4
"386",0,0,0,2,1,6,1,2,2
"387",0,0,0,3,1,2,3,3,1
"388",0,0,0,3,2,3,0,3,3
"389",0,0,0,1,1,2,3,0,3
"390",0,0,0,3,0,2,3,3,4
"391",0,0,0,1,2,5,2,2,2
"392",0,0,0,4,2,3,0,1,1
"393",0,0,0,1,0,0,4,4,5
"394",0,0,0,3,2,4,4,1,4
"395",0,0,0,1,0,2,1,3,1
"396",0,0,0,5,1,1,0,3,0
"397",0,0,0,2,1,2,0,4,0
"398",0,0,0,1,1,1,1,0,1
"399",0,0,0,4,3,3,1,0,0
"400",0,0,0,3,1,0,4,5,2
"401",0,0,0,1,1,4,2,3,2
"402",0,0,0,1,4,2,1,1,4
"403",0,0,0,1,1,4,1,3,5
"404",0,0,0,4,2,0,1,1,1
"405",0,0,0,1,1,2,3,6,1
"406",0,0,0,1,3,3,3,1,2
"407",0,0,0,2,2,3,0,3,3
"408",0,0,0,2,1,3,3,4,3
"409",0,0,0,2,2,1,2,2,2
"410",0,0,0,2,0,1,1,3,4
"411",0,0,0,3,1,3,3,3,0
"412",0,0,0,0,1,2,2,3,2
"413",0,0,0,2,1,6,2,3,1
"414",0,0,0,4,3,1,3,3,2
"415",0,0,0,4,2,1,0,1,5
"416",0,0,0,4,2,1,2,3,2
"417",0,0,0,2,2,3,2,3,1
"418",0,0,0,1,2,0,1,4,2
"419",0,0,0,1,5,0,3,4,1
"420",0,0,0,1,5,3,1,1,1
"421",0,0,0,0,2,0,5,1,0
"422",0,0,0,2,3,1,3,4,0
"423",0,0,0,3,0,3,0,1,4
"424",0,0,0,1,3,4,3,1,1
"425",0,0,0,2,3,2,2,0,0
"426",0,0,0,4,1,2,0,2,3
"427",0,0,0,4,1,0,5,2,4
"428",0,0,0,3,1,1,1,1,1
"429",NA,NA,NA,NA,NA,NA,NA,NA,NA
"430",0,0,0,4,2,2,2,2,0
"431",0,0,0,2,1,5,2,0,3
"432",0,0,0,9,2,3,2,2,4
"433",0,0,0,2,5,2,0,0,2
"434",0,0,0,1,3,2,3,0,2
"435",0,0,0,1,0,1,3,2,0
