"","V1","V2"
"1",27,33
"2",21,39
"3",18,42
"4",24,36
"5",27,33
"6",18,42
"7",27,33
"8",18,42
"9",27,33
"10",21,39
"11",15,45
"12",18,42
"13",24,36
"14",27,33
"15",18,42
"16",18,42
"17",18,42
"18",24,36
"19",27,33
"20",27,33
"21",21,39
"22",24,36
"23",21,39
"24",24,36
"25",18,42
"26",27,33
"27",27,33
"28",9,51
"29",27,33
"30",18,42
"31",18,42
"32",24,36
"33",18,42
"34",27,33
"35",27,33
"36",24,36
"37",18,42
"38",27,33
"39",27,33
"40",24,36
"41",24,36
"42",27,33
"43",27,33
"44",27,33
"45",27,33
"46",21,39
"47",27,33
"48",27,33
"49",27,33
"50",24,36
"51",21,39
"52",21,39
"53",18,42
"54",27,33
"55",18,42
"56",24,36
"57",27,33
"58",24,36
"59",24,36
"60",24,36
"61",24,36
"62",24,36
"63",27,33
"64",27,33
"65",27,33
"66",21,39
"67",27,33
"68",24,36
"69",18,42
"70",24,36
"71",27,33
"72",27,33
"73",18,42
"74",24,36
"75",18,42
"76",21,39
"77",27,33
"78",27,33
"79",27,33
"80",18,42
"81",21,39
"82",27,33
"83",27,33
"84",24,36
"85",27,33
"86",24,36
"87",27,33
"88",21,39
"89",24,36
"90",24,36
"91",21,39
"92",21,39
"93",21,39
"94",21,39
"95",21,39
"96",18,42
"97",24,36
"98",18,42
"99",18,42
"100",24,36
"101",27,33
"102",21,39
"103",18,42
"104",24,36
"105",21,39
"106",27,33
"107",18,42
"108",18,42
"109",27,33
"110",27,33
"111",24,36
"112",27,33
"113",21,39
"114",27,33
"115",21,39
"116",27,33
"117",18,42
"118",27,33
"119",27,33
"120",18,42
"121",27,33
"122",18,42
"123",18,42
"124",18,42
"125",24,36
"126",24,36
"127",21,39
"128",21,39
"129",27,33
"130",18,42
"131",18,42
"132",18,42
"133",18,42
"134",24,36
"135",21,39
"136",27,33
"137",24,36
"138",27,33
"139",21,39
"140",27,33
"141",24,36
"142",24,36
"143",18,42
"144",24,36
"145",27,33
"146",27,33
"147",24,36
"148",27,33
"149",24,36
"150",27,33
"151",18,42
