"","V1","V2","V3","V4","V5"
"1",6,9,12,18,15
"2",12,15,15,12,6
"3",12,12,12,12,12
"4",15,6,12,18,9
"5",12,9,15,12,12
"6",9,12,9,15,15
"7",6,15,12,15,12
"8",12,9,9,15,15
"9",12,15,9,9,15
"10",9,12,15,15,9
"11",15,12,15,18,NA
"12",12,9,15,15,9
"13",12,9,12,12,15
"14",9,12,12,12,15
"15",12,15,12,15,6
"16",9,12,15,12,12
"17",6,9,12,15,18
"18",9,12,15,21,3
"19",9,15,12,12,12
"20",18,12,12,18,NA
"21",18,6,9,12,15
"22",9,9,12,21,9
"23",9,9,21,9,12
"24",6,9,15,15,15
"25",9,12,24,9,6
"26",12,18,9,6,15
"27",9,15,12,15,9
"28",12,9,24,15,NA
"29",15,6,24,15,NA
"30",9,6,18,15,12
"31",12,15,18,15,NA
"32",21,9,12,9,9
"33",12,12,15,9,12
"34",12,9,12,18,9
"35",9,15,12,12,12
"36",15,15,12,9,9
"37",9,12,9,18,12
"38",9,15,12,9,15
"39",9,6,15,12,18
"40",15,9,12,12,12
"41",12,12,12,9,15
"42",12,9,15,12,12
"43",9,9,12,12,18
"44",9,6,12,18,15
"45",12,9,12,18,9
"46",18,12,12,18,NA
"47",9,15,12,12,12
"48",12,12,12,12,12
"49",18,21,9,9,3
"50",6,12,12,15,15
"51",9,9,6,21,15
"52",9,9,18,12,12
"53",15,12,9,12,12
"54",12,12,12,12,12
"55",15,6,12,18,9
"56",6,18,12,9,15
"57",9,12,18,6,15
"58",9,15,12,9,15
"59",9,12,18,12,9
"60",12,12,12,12,12
"61",12,15,12,15,6
"62",15,12,9,12,12
"63",18,12,21,9,NA
"64",6,9,15,12,18
"65",12,9,21,12,6
"66",12,12,15,9,12
"67",9,21,15,15,NA
"68",12,9,12,12,15
"69",12,12,6,15,15
"70",9,15,9,18,9
"71",6,15,12,12,15
"72",6,12,12,12,18
"73",9,9,15,15,12
"74",9,9,12,15,15
"75",9,15,9,18,9
"76",6,12,9,15,18
"77",9,9,15,15,12
"78",9,9,15,15,12
"79",12,15,21,12,NA
"80",12,9,12,15,12
"81",12,6,15,12,15
"82",12,9,12,15,12
"83",12,9,12,12,15
"84",9,9,15,15,12
"85",15,21,9,15,NA
"86",9,9,18,15,9
"87",12,6,21,18,3
"88",12,21,15,12,NA
"89",12,9,15,18,6
"90",12,15,12,9,12
"91",6,12,15,15,12
"92",6,12,15,18,9
"93",6,9,6,21,18
"94",9,15,9,15,12
"95",12,12,12,15,9
"96",6,12,9,18,15
"97",9,12,9,15,15
"98",15,24,21,NA,NA
"99",9,9,15,9,18
"100",9,9,15,18,9
"101",9,15,15,6,15
"102",12,9,18,9,12
"103",6,15,12,12,15
"104",9,6,15,15,15
"105",9,6,21,12,12
"106",12,6,27,15,NA
"107",9,15,12,12,12
"108",6,12,18,15,9
"109",6,12,12,18,12
"110",12,21,12,15,NA
"111",9,9,12,18,12
"112",6,12,24,9,9
"113",15,9,15,15,6
"114",9,15,12,15,9
"115",9,12,18,15,6
"116",9,6,15,18,12
"117",12,21,27,NA,NA
"118",15,9,12,9,15
"119",12,9,18,12,9
"120",18,9,30,3,NA
"121",9,15,15,12,9
"122",15,6,12,12,15
"123",12,9,15,18,6
"124",9,9,15,15,12
"125",9,6,18,15,12
"126",9,12,9,18,12
"127",18,18,15,6,3
"128",9,9,12,15,15
"129",12,12,12,15,9
"130",9,9,12,15,15
"131",12,6,12,9,21
"132",9,12,15,15,9
"133",6,15,12,12,15
"134",12,3,18,12,15
"135",12,12,15,12,9
"136",18,15,15,12,NA
"137",15,9,15,12,9
"138",6,15,12,15,12
"139",9,9,15,12,15
"140",9,15,12,12,12
"141",9,18,12,6,15
"142",21,9,18,12,NA
"143",12,12,12,18,6
"144",12,9,15,15,9
"145",12,18,12,9,9
"146",15,6,12,9,18
"147",9,15,15,12,9
"148",12,9,12,12,15
"149",6,15,15,9,15
"150",9,12,15,15,9
"151",6,12,12,15,15
"152",9,21,15,15,NA
"153",12,9,9,15,15
"154",9,15,15,9,12
"155",18,9,21,12,NA
"156",12,9,15,12,12
"157",9,12,12,12,15
"158",9,12,15,18,6
"159",9,18,9,18,6
"160",18,6,18,6,12
"161",9,9,9,15,18
"162",9,18,15,12,6
"163",15,9,9,12,15
"164",9,15,18,18,NA
"165",21,12,21,6,NA
"166",9,18,15,18,NA
"167",12,9,15,12,12
"168",6,12,12,18,12
"169",15,6,9,18,12
"170",15,9,6,18,12
"171",9,18,18,15,NA
"172",21,9,12,9,9
"173",9,12,27,9,3
"174",12,15,9,15,9
"175",9,12,15,18,6
"176",6,12,18,12,12
"177",12,6,18,15,9
"178",12,9,15,18,6
"179",6,15,12,9,18
"180",12,15,21,12,NA
