"","V1","V2","V3","V4","V5"
"1",0,1,2,6,NA
"2",1,0,1,2,1
"3",1,2,3,NA,NA
"4",1,0,1,1,0
"5",0,1,1,3,4
"6",0,1,1,0,1
"7",0,0,2,3,NA
"8",0,3,1,1,2
"9",0,0,1,1,5
"10",0,0,3,0,2
"11",0,1,1,3,3
"12",0,0,2,2,1
"13",0,1,1,1,4
"14",0,2,1,1,1
"15",0,0,0,3,0
"16",0,1,1,2,0
"17",0,0,1,1,0
"18",0,1,4,1,0
"19",0,0,1,4,3
"20",1,1,2,0,0
"21",0,0,0,1,3
"22",0,0,4,2,5
"23",0,0,2,1,5
"24",0,0,2,2,4
"25",0,0,1,1,2
"26",0,0,1,3,0
"27",0,1,0,4,NA
"28",0,1,2,0,3
"29",0,1,2,4,NA
"30",0,2,1,0,1
"31",0,1,0,0,1
"32",0,0,1,0,0
"33",0,0,2,3,2
"34",1,2,1,1,3
"35",0,0,2,4,NA
"36",1,1,0,1,4
"37",0,1,2,6,NA
"38",0,1,1,1,2
"39",0,0,4,4,NA
"40",0,0,0,2,1
"41",0,2,2,1,0
"42",1,0,1,3,1
"43",0,1,1,4,1
"44",0,1,1,1,2
"45",0,0,2,4,NA
"46",1,0,0,0,2
"47",1,0,1,1,4
"48",0,2,1,1,0
"49",0,0,0,0,3
"50",0,2,1,1,1
"51",0,0,1,3,2
"52",0,0,0,4,2
"53",0,4,0,4,NA
"54",0,0,1,2,0
"55",0,0,0,2,4
"56",0,0,3,3,2
"57",0,1,0,3,NA
"58",0,0,2,0,4
"59",1,0,1,0,3
"60",0,0,0,1,2
"61",0,2,2,1,1
"62",0,0,0,3,6
"63",0,0,0,1,4
"64",1,1,2,1,3
"65",0,0,0,2,2
"66",0,1,0,1,4
"67",0,0,0,1,2
"68",0,2,0,2,0
"69",0,1,0,2,3
"70",0,0,2,2,0
"71",0,0,0,2,3
"72",0,0,1,4,4
"73",0,0,2,4,NA
"74",0,0,0,1,5
"75",0,0,0,0,1
"76",0,1,2,3,0
"77",0,0,2,0,2
"78",0,1,3,1,3
"79",0,0,1,3,NA
"80",0,0,0,1,2
"81",0,0,0,1,3
"82",0,1,1,2,3
"83",0,0,1,0,6
"84",0,0,1,3,2
"85",0,0,0,1,2
"86",0,1,0,1,3
"87",0,0,0,0,0
"88",0,0,1,1,3
"89",0,1,2,5,NA
"90",0,0,0,1,0
"91",0,0,0,0,7
"92",0,0,2,2,3
"93",0,1,4,3,NA
"94",0,1,0,2,4
"95",0,1,1,0,4
"96",0,1,0,4,2
"97",0,2,0,1,2
"98",0,2,0,3,0
"99",0,0,0,2,3
"100",0,0,1,3,2
"101",0,1,1,3,1
"102",0,1,1,1,1
"103",0,1,0,2,1
"104",0,1,2,1,3
"105",0,0,0,0,1
"106",0,1,1,4,NA
"107",0,0,2,0,2
"108",2,0,2,1,1
"109",0,1,3,0,2
"110",0,0,2,3,3
"111",0,0,2,1,3
"112",1,1,1,1,1
"113",0,0,2,0,1
"114",0,2,1,6,NA
"115",0,0,2,1,2
"116",0,2,3,1,1
"117",0,4,1,2,3
"118",1,2,1,2,2
"119",0,0,2,2,3
"120",0,1,0,2,2
"121",0,1,0,2,1
"122",0,1,1,2,1
"123",0,1,2,3,0
"124",0,1,2,2,4
"125",0,0,0,2,3
"126",0,0,2,2,2
"127",0,1,0,0,3
"128",0,1,0,5,NA
"129",0,0,0,0,3
"130",0,1,1,1,4
"131",0,0,1,5,NA
"132",0,1,1,2,4
"133",0,0,0,1,3
"134",0,0,0,3,2
"135",0,0,0,4,2
"136",0,0,1,2,0
"137",0,0,3,1,4
"138",1,0,0,3,NA
"139",0,1,0,5,4
"140",0,0,2,2,0
"141",0,1,2,3,NA
"142",0,0,0,4,NA
"143",0,2,3,0,1
"144",0,0,1,2,2
"145",0,0,1,0,2
"146",0,0,2,3,4
"147",0,2,1,5,NA
"148",0,0,1,3,4
"149",0,1,3,1,2
"150",0,0,5,0,0
"151",0,3,1,3,1
"152",1,0,2,3,4
"153",0,3,0,1,2
"154",0,0,1,4,1
"155",0,0,3,1,1
"156",0,0,0,2,5
"157",0,0,2,1,4
"158",0,1,2,1,0
"159",0,0,1,2,1
"160",0,1,0,1,5
"161",0,1,2,0,5
"162",0,1,1,0,1
"163",0,0,4,0,0
"164",0,1,0,4,NA
"165",0,0,2,2,3
"166",0,0,0,2,2
"167",0,0,1,2,2
"168",0,0,0,3,1
"169",0,1,1,1,2
"170",0,0,3,0,4
"171",0,0,0,3,3
"172",1,1,4,1,2
"173",0,2,3,1,1
"174",0,0,4,NA,NA
"175",0,1,0,1,4
"176",0,0,0,1,3
"177",0,0,0,3,2
"178",0,1,2,1,1
"179",0,1,4,NA,NA
"180",0,0,0,1,3
"181",0,1,1,1,0
"182",0,1,1,3,2
"183",0,1,1,1,2
"184",0,0,0,2,0
"185",0,1,0,3,3
"186",0,0,2,1,1
"187",0,1,4,3,0
"188",0,1,1,2,4
"189",0,3,2,4,NA
"190",0,0,1,2,1
"191",0,3,NA,NA,NA
"192",0,0,5,NA,NA
"193",0,0,1,3,3
"194",1,0,2,4,3
"195",0,2,1,3,1
"196",0,0,0,2,2
"197",1,1,1,2,3
"198",0,0,2,0,3
"199",0,2,1,2,2
"200",0,0,0,3,5
"201",0,0,0,5,3
"202",0,0,1,2,4
"203",0,0,3,4,NA
"204",0,3,0,1,2
"205",0,0,2,0,2
"206",0,1,2,0,5
"207",0,0,0,0,2
"208",0,0,6,NA,NA
"209",0,0,1,0,2
"210",0,1,1,3,2
"211",0,0,0,2,4
"212",0,0,1,1,5
"213",0,0,2,5,NA
"214",1,2,1,2,1
"215",0,0,1,3,2
"216",0,0,1,1,2
"217",0,4,0,4,NA
"218",0,0,2,3,2
"219",0,1,1,2,2
"220",0,1,2,1,1
"221",0,1,2,0,2
"222",0,0,1,5,NA
"223",0,0,3,3,NA
"224",0,2,0,1,3
"225",0,1,0,1,4
"226",0,1,0,3,5
"227",0,0,2,1,1
